data,query,filter,order,engine,preproc_time,total_time,mem_cost,coverage
human,query_4_1,TSO,CFL,MM,1.70425,975.217,267200,221
human,query_4_1,VEQ,CFL,MM,9.16106,1195,264868,221
human,query_4_1,VEQ,TSO,MM,9.1178,908.446,264868,221
human,query_4_1,TSO,TSO,MM,1.62239,1109.11,267200,221
human,query_4_1,TSO,TSO,MM,1.62936,943.65,267200,221
human,query_4_1,TSO,TSO,QSI,1.60189,376.284,267200,0
human,query_4_1,VEQ,CFL,VEQ,9.17097,3316.96,264868,221
human,query_4_1,TSO,TSO,QSI,1.61783,584.723,267200,0
dblp,query_G_32_1,VEQ,CFL,MM,76.8572,1077.99,109452,255
dblp,query_G_32_1,NON,CFL,MM,24.6003,1025.76,341336,228
dblp,query_G_32_1,VEQ,CFL,MM,101.109,1102.31,109452,255
dblp,query_G_32_1,TSO,CFL,MM,29.3107,1030.44,341336,228
dblp,query_G_32_1,VEQ,DEG,MM,86.8134,1087.95,109452,230
dblp,query_G_32_1,VEQ,GQL,MM,101.676,1102.8,109452,274
human,query_4_1,NON,DEG,MatCo,1.39008,1367.23,273392,221
human,query_4_1,NON,DEG,MatCo,1.34324,1416.57,273392,221
human,query_4_1,NON,DEG,MM,1.1474,888.37,273392,221
human,query_4_1,NON,DEG,MatCo,1.33409,1615.32,273392,221
human,query_4_1,VEQ,CFL,MM,9.99109,994.204,264868,221
human,query_4_1,NON,DEG,MatCo,1.35882,923.972,273392,0
human,query_4_1,NON,DEG,MatCo,1.35501,1455.98,273392,221
human,query_4_1,NON,DEG,MatCo,1.35085,1617.75,273392,221
human,query_4_1,NON,DEG,MatCo,1.35382,1383.89,273392,221
human,query_4_1,NON,DEG,MatCo,1.37479,1.54253,273392,0
human,query_4_1,NON,DEG,MatCo,1.3581,1476.09,273392,221
human,query_4_1,NON,DEG,MatCo,1.35092,1588.3,273392,221
