data,query,filter,order,mem_cost,coverage,engine_1,engine_2,engine_3,preproc_time_1,preproc_time_2,preproc_time_3,total_time_1,total_time_2,total_time_3,coverage_per_time_1,coverage_per_time_2,coverage_per_time_3
dblp,query_4_1,VEQ,CFL,82152,2104,MM,MMN,MMI,50.3916,51.9419,65.4504,56.8636,58.3609,72.5427,37.000823022109046,36.05153450340896,29.00360753046137
dblp,query_4_2,VEQ,CFL,154032,8139,MMI,MMN,MM,73.486,72.9088,74.8497,106.687,120.798,125.484,76.28858248896304,67.37694332687627,64.86085875490103
dblp,query_4_3,VEQ,CFL,116472,4531,MMI,MM,MMN,64.136,62.8432,76.1834,78.1226,83.6206,96.4675,57.99858171643032,54.18521273466108,46.96918651359266
dblp,query_4_4,VEQ,CFL,116348,4499,MMI,MMN,MM,67.6225,64.0751,64.7148,81.8478,82.8782,83.9071,54.96787940543301,54.28448011660485,53.6188236752313
dblp,query_4_5,VEQ,CFL,113084,4303,MMI,MMN,MM,60.9721,62.1349,62.6534,73.7717,80.6404,82.3689,58.328600262702366,53.36035039508732,52.24059080551034
dblp,query_4_6,VEQ,CFL,117096,3546,MMI,MMN,MM,77.1926,76.7201,78.3267,89.0914,91.5394,94.1647,39.80182150016725,38.73741798613493,37.6574236417681
dblp,query_4_7,VEQ,CFL,76256,1926,MMN,MM,MMI,45.4484,51.2883,57.6523,50.4605,57.2912,62.2611,38.16846840598091,33.61772837713296,30.93424305063676
dblp,query_4_8,VEQ,CFL,159456,6490,MMI,MM,MMN,80.9749,81.7383,104.001,111.395,123.526,153.724,58.2611427801966,52.53954633032722,42.218521506075824
dblp,query_4_9,VEQ,CFL,155268,8240,MMN,MM,MMI,76.511,75.0297,97.0522,133.425,135.483,143.037,61.75754169008806,60.81943860115291,57.607472192509626
dblp,query_4_10,VEQ,CFL,118740,4615,MMI,MM,MMN,63.0129,61.7393,63.5078,78.1026,82.4552,84.1057,59.088941981444925,55.96978722991394,54.87142964151062
dblp,query_4_11,VEQ,CFL,109256,3167,MMI,MMN,MM,60.7069,61.1875,76.7757,71.7576,74.8779,91.092,44.13469792746692,42.2955237793795,34.767048698019586
dblp,query_4_12,VEQ,CFL,81768,2092,MMI,MMN,MM,52.2268,52.7488,65.0516,58.0688,59.3202,72.294,36.02623095362742,35.26623308754859,28.937394527899965
dblp,query_4_13,VEQ,CFL,77868,2268,MMI,MM,MMN,49.6262,49.8348,62.7161,54.9499,56.6597,68.8564,41.27396046216645,40.02845055656842,32.9381146850547
dblp,query_4_14,VEQ,CFL,116864,4441,MMI,MMN,MM,64.8503,82.3644,82.9004,79.9306,100.864,108.676,55.56069890630122,44.029584390862944,40.864588317567815
dblp,query_4_15,VEQ,CFL,79840,1516,MMN,MM,MMI,53.0257,55.898,68.8681,58.7585,62.2425,75.9779,25.800522477598985,24.356348154396112,19.953170593027707
dblp,query_4_16,VEQ,CFL,112456,4460,MMN,MMI,MM,63.301,73.2413,81.6055,81.3239,87.3516,100.318,54.84242639617628,51.05802297839993,44.4586215833649
dblp,query_4_17,VEQ,CFL,91800,2252,MMN,MMI,MM,52.234,53.553,59.5293,60.0055,60.4622,69.0459,37.52989309313313,37.24641180770796,32.61598443933673
dblp,query_4_18,VEQ,CFL,75624,1603,MMN,MM,MMI,54.2297,54.3853,66.7605,59.7464,60.2411,72.1048,26.83006842253257,26.60973986198791,22.231529662380314
dblp,query_4_19,VEQ,CFL,112720,4351,MMN,MM,MMI,61.8109,61.7759,71.2062,78.7997,80.2004,82.9355,55.21594625360249,54.25159974264467,52.46245576381646
dblp,query_4_20,VEQ,CFL,121544,3610,MMI,MM,MMN,75.8006,75.209,84.4525,88.7599,93.0338,102.384,40.67151945867447,38.80310166842588,35.259415533677135
dblp,query_4_21,VEQ,CFL,69948,1477,MMN,MMI,MM,51.7817,65.7363,65.6224,56.7336,71.7499,72.388,26.03395518704965,20.58539454410389,20.40393435376029
dblp,query_4_22,VEQ,CFL,75512,1255,MMI,MM,MMN,49.1356,49.7106,53.3003,53.1427,54.3147,57.4119,23.615661229105783,23.106083620088118,21.859579634187337
