data,query,filter,order,engine,preproc_time,total_time,mem_cost,coverage,coverage_per_time
dblp,query_24_1,VEQ,CFL,MM,91.56,100094.0,92152,243,0.002427717945131576
dblp,query_24_2,VEQ,CFL,MM,111.811,100113.0,115720,764,0.00763137654450471
dblp,query_24_3,VEQ,CFL,MM,90.5544,100092.0,75364,282,0.0028174079846541183
dblp,query_24_4,VEQ,CFL,MM,58.8227,100060.0,101956,85,0.0008494903058165101
dblp,query_24_5,VEQ,CFL,MM,83.674,100085.0,87028,226,0.0022580806314632562
dblp,query_24_6,VEQ,CFL,MM,137.778,100139.0,135356,1362,0.013601094478674643
dblp,query_24_7,VEQ,CFL,MM,92.4081,100094.0,103108,250,0.00249765220692549
dblp,query_24_8,VEQ,CFL,MM,106.152,100107.0,97396,685,0.006842678334182424
dblp,query_24_9,VEQ,CFL,MM,100.093,100101.0,64504,126,0.0012587286840291306
dblp,query_24_10,VEQ,CFL,MM,98.6855,100101.0,79780,275,0.002747225302444531
dblp,query_24_11,VEQ,CFL,MM,93.8239,100095.0,87192,413,0.004126080223787402
dblp,query_24_12,VEQ,CFL,MM,78.7139,100080.0,82812,487,0.004866107114308553
dblp,query_24_13,VEQ,CFL,MM,77.5487,100079.0,110536,150,0.0014988159354110252
dblp,query_24_14,VEQ,CFL,MM,73.0821,100074.0,79828,254,0.0025381217898754922
dblp,query_24_15,VEQ,CFL,MM,63.4988,100066.0,97128,142,0.001419063418144025
dblp,query_24_16,VEQ,CFL,MM,124.992,100126.0,89692,562,0.005612927711084034
dblp,query_24_17,VEQ,CFL,MM,95.8545,100098.0,96472,218,0.00217786569162221
dblp,query_24_18,VEQ,CFL,MM,124.183,100127.0,106740,492,0.004913759525402739
dblp,query_24_19,VEQ,CFL,MM,101.083,100103.0,96572,379,0.0037861003166738258
dblp,query_24_20,VEQ,CFL,MM,111.948,100113.0,90496,598,0.005973250227243215
dblp,query_24_21,VEQ,CFL,MM,71.46,100073.0,77876,212,0.0021184535289238858
dblp,query_24_22,VEQ,CFL,MM,97.1109,100099.0,104576,459,0.004585460394209732
dblp,query_24_23,VEQ,CFL,MM,97.7455,100100.0,124472,129,0.0012887112887112887
dblp,query_24_24,VEQ,CFL,MM,112.996,100115.0,82972,157,0.0015681965739399691
dblp,query_24_25,VEQ,CFL,MM,81.0518,100083.0,81076,205,0.002048299911073809
dblp,query_24_26,VEQ,CFL,MM,113.966,100116.0,93496,499,0.0049842183067641535
dblp,query_24_27,VEQ,CFL,MM,77.3249,100080.0,59272,203,0.002028377298161471
dblp,query_24_28,VEQ,CFL,MM,76.0738,100078.0,88140,239,0.002388137252942705
dblp,query_24_29,VEQ,CFL,MM,131.847,100133.0,109732,270,0.0026964137696863172
dblp,query_24_30,VEQ,CFL,MM,63.9779,100065.0,109976,122,0.001219207515115175
dblp,query_24_31,VEQ,CFL,MM,92.2348,100094.0,133784,1213,0.012118608508002478
dblp,query_24_32,VEQ,CFL,MM,97.2884,100100.0,91380,291,0.0029070929070929073
dblp,query_24_33,VEQ,CFL,MM,126.884,100128.0,113368,1490,0.01488095238095238
