data,query,filter,order,engine,preproc_time,total_time,mem_cost,coverage,coverage_per_time
eu2005,query_24_1,VEQ,CFL,MM,1128.28,101130.0,774216,2934,0.029012162563037673
eu2005,query_24_1,VEQ,CFL,MMN,1245.67,101247.0,774216,2934,0.0289786364040416
eu2005,query_24_1,VEQ,CFL,MMI,1230.82,101232.0,774216,3258,0.03218349928876245
eu2005,query_24_2,VEQ,CFL,MM,2057.39,99280.3,1915900,10982,0.11061610410121644
eu2005,query_24_2,VEQ,CFL,MMN,1979.36,97805.9,1915900,10982,0.11228361479215468
eu2005,query_24_2,VEQ,CFL,MMI,2014.62,102020.0,1915900,239,0.0023426779062928837
eu2005,query_24_3,VEQ,CFL,MM,1789.47,101793.0,1734616,6645,0.06527953788570923
eu2005,query_24_3,VEQ,CFL,MMN,1773.41,101775.0,1734616,6645,0.06529108327192336
eu2005,query_24_3,VEQ,CFL,MMI,1837.82,101839.0,1734616,8458,0.08305266155402155
eu2005,query_24_4,VEQ,CFL,MM,1931.87,101933.0,1922140,1621,0.015902602690002255
eu2005,query_24_4,VEQ,CFL,MMN,1825.02,101829.0,1922140,1621,0.0159188443370749
eu2005,query_24_4,VEQ,CFL,MMI,1827.81,101832.0,1922140,3601,0.03536216513473171
eu2005,query_24_5,VEQ,CFL,MM,1853.17,101858.0,2069472,626,0.006145810834691433
eu2005,query_24_5,VEQ,CFL,MMN,1792.69,101799.0,2069472,626,0.006149372783622629
eu2005,query_24_5,VEQ,CFL,MMI,1807.49,101812.0,2069472,1703,0.016726908419439752
eu2005,query_24_6,VEQ,CFL,MM,1369.77,101374.0,926176,2882,0.028429380314479058
eu2005,query_24_6,VEQ,CFL,MMN,1474.1,101479.0,926176,2882,0.028399964524679983
eu2005,query_24_6,VEQ,CFL,MMI,1344.16,101345.0,926176,4705,0.04642557600276284
eu2005,query_24_7,VEQ,CFL,MM,1412.66,101414.0,1198068,1759,0.01734474530143767
eu2005,query_24_7,VEQ,CFL,MMN,1411.24,101413.0,1198068,1767,0.017423801682230088
eu2005,query_24_7,VEQ,CFL,MMI,1481.67,101483.0,1198068,2588,0.025501808184622055
eu2005,query_24_8,VEQ,CFL,MM,1180.01,101185.0,845972,425,0.004200227306418935
eu2005,query_24_8,VEQ,CFL,MMN,1201.28,101206.0,845972,425,0.004199355769420785
eu2005,query_24_8,VEQ,CFL,MMI,1148.92,101153.0,845972,141,0.0013939280100441905
