data,query,filter,order,engine,preproc_time,total_time,mem_cost,coverage,coverage_per_time
human,query_8_1,VEQ,CFL,MM,25.1692,1405.69,284784,510,0.3628111461275245
human,query_8_1,VEQ,CFL,MMN,22.3588,1236.69,284784,510,0.412391140867962
human,query_8_1,VEQ,CFL,MMI,24.7212,1284.17,284784,510,0.39714368035384723
human,query_8_2,VEQ,CFL,MM,0.978238,9.52351,9900,54,5.670178327108387
human,query_8_2,VEQ,CFL,MMN,1.80159,21.7935,9900,54,2.4778030146603345
human,query_8_2,VEQ,CFL,MMI,0.966491,9.55304,9900,54,5.652650883907112
human,query_8_3,VEQ,CFL,MM,2.77818,5.70656,17812,141,24.70840576459373
human,query_8_3,VEQ,CFL,MMN,5.27058,11.0468,17812,141,12.763877321939386
human,query_8_3,VEQ,CFL,MMI,2.27864,5.45445,17812,141,25.850452382916703
human,query_8_4,VEQ,CFL,MM,1.67698,4.84551,5852,73,15.065493621930406
human,query_8_4,VEQ,CFL,MMN,1.3836,3.95902,5852,73,18.438906598097507
human,query_8_4,VEQ,CFL,MMI,1.66383,4.82189,5852,73,15.13929185443882
human,query_8_5,VEQ,CFL,MM,20.5603,100022.0,789228,112,0.001119753654196077
human,query_8_5,VEQ,CFL,MMN,14.1265,100015.0,789228,112,0.0011198320251962206
human,query_8_5,VEQ,CFL,MMI,14.1603,100015.0,789228,109,0.0010898365245213218
human,query_8_6,VEQ,CFL,MM,9.30626,1548.07,342448,140,0.09043518703934576
human,query_8_6,VEQ,CFL,MMN,7.25256,1262.3,342448,140,0.11090865879743327
human,query_8_6,VEQ,CFL,MMI,9.22524,1461.82,342448,140,0.09577102516041647
human,query_8_7,VEQ,CFL,MM,7.2019,93.6362,277648,156,1.6660223289710603
human,query_8_7,VEQ,CFL,MMN,7.11759,95.6148,277648,156,1.6315465806548777
human,query_8_7,VEQ,CFL,MMI,5.65455,72.6223,277648,156,2.1481005145802325
human,query_8_8,VEQ,CFL,MM,5.56178,106.628,38160,81,0.7596503732603068
human,query_8_8,VEQ,CFL,MMN,5.38642,105.644,38160,81,0.7667259853848775
human,query_8_8,VEQ,CFL,MMI,5.38378,120.531,38160,81,0.6720262836946511
human,query_8_9,VEQ,CFL,MM,37.658,100039.0,1661760,556,0.005557832445346315
human,query_8_9,VEQ,CFL,MMN,38.2854,100039.0,1661760,556,0.005557832445346315
human,query_8_9,VEQ,CFL,MMI,49.0864,100050.0,1661760,208,0.0020789605197401298
human,query_8_10,VEQ,CFL,MM,13.4133,67109.6,306276,174,0.0025927736121210674
human,query_8_10,VEQ,CFL,MMN,13.4131,64302.6,306276,174,0.002705955902249676
human,query_8_10,VEQ,CFL,MMI,13.4192,100015.0,306276,37,0.00036994450832375145
human,query_8_11,VEQ,CFL,MM,30.3817,100031.0,1027456,218,0.002179324409433076
human,query_8_11,VEQ,CFL,MMN,38.1808,100039.0,1027456,218,0.002179150131448735
human,query_8_11,VEQ,CFL,MMI,37.9366,100039.0,1027456,237,0.002369076060336469
human,query_8_12,VEQ,CFL,MM,11.3412,100012.0,653272,107,0.0010698716154061512
human,query_8_12,VEQ,CFL,MMN,27.8729,100029.0,653272,107,0.0010696897899609113
human,query_8_12,VEQ,CFL,MMI,10.9733,100012.0,653272,107,0.0010698716154061512
human,query_8_13,VEQ,CFL,MM,12.2461,100013.0,753792,118,0.0011798466199394078
human,query_8_13,VEQ,CFL,MMN,15.0648,100016.0,753792,118,0.0011798112302031675
human,query_8_13,VEQ,CFL,MMI,15.1031,100016.0,753792,119,0.0011898096304591265
human,query_8_14,VEQ,CFL,MM,2.8957,85.7228,16168,51,0.5949409025370146
human,query_8_14,VEQ,CFL,MMN,3.12208,79.2101,16168,51,0.6438572858764223
human,query_8_14,VEQ,CFL,MMI,2.34705,73.6379,16168,51,0.6925781425054218
human,query_8_15,VEQ,CFL,MM,6.74613,3110.23,145100,90,0.028936766734292962
human,query_8_15,VEQ,CFL,MMN,5.82817,2952.7,145100,90,0.030480577098926407
human,query_8_15,VEQ,CFL,MMI,5.76201,3022.23,145100,90,0.02977933512671107
human,query_8_16,VEQ,CFL,MM,4.92015,129.182,97656,87,0.6734684398755245
human,query_8_16,VEQ,CFL,MMN,4.77974,123.979,97656,87,0.7017317448922802
human,query_8_16,VEQ,CFL,MMI,4.7793,116.605,97656,87,0.7461086574332146
human,query_8_17,VEQ,CFL,MM,28.0363,100029.0,780884,108,0.0010796868908016675
human,query_8_17,VEQ,CFL,MMN,40.0187,100041.0,780884,108,0.0010795573814735959
human,query_8_17,VEQ,CFL,MMI,30.7977,100032.0,780884,179,0.001789427383237364
human,query_8_18,VEQ,CFL,MM,6.80108,299.705,145576,245,0.817470512670793
human,query_8_18,VEQ,CFL,MMN,5.86654,229.341,145576,245,1.0682782406983486
human,query_8_18,VEQ,CFL,MMI,6.76508,19645.4,145576,245,0.01247111283048449
human,query_8_19,VEQ,CFL,MM,10.3266,100011.0,418144,124,0.0012398636150023497
human,query_8_19,VEQ,CFL,MMN,10.138,100011.0,418144,124,0.0012398636150023497
human,query_8_19,VEQ,CFL,MMI,10.4276,100011.0,418144,124,0.0012398636150023497
human,query_8_20,VEQ,CFL,MM,60.817,100062.0,2057800,579,0.005786412424296936
human,query_8_20,VEQ,CFL,MMN,55.6332,99361.0,2057800,579,0.005827236038284639
human,query_8_20,VEQ,CFL,MMI,54.9447,98811.1,2057800,579,0.005859665563889077
human,query_8_21,VEQ,CFL,MM,33.6477,100035.0,1219568,565,0.005648023191882841
human,query_8_21,VEQ,CFL,MMN,38.1237,100039.0,1219568,565,0.005647797359029978
human,query_8_21,VEQ,CFL,MMI,37.2274,100038.0,1219568,565,0.0056478538155500906
human,query_8_22,VEQ,CFL,MM,4.32606,9.16387,135392,154,16.805127091501735
human,query_8_22,VEQ,CFL,MMN,4.80642,10.0665,135392,154,15.298266527591517
human,query_8_22,VEQ,CFL,MMI,6.42313,12.7235,135392,154,12.103587849255316
human,query_8_23,VEQ,CFL,MM,12.5617,58822.8,535000,130,0.0022100274043398136
