data,query,filter,order,engine,preproc_time,total_time,mem_cost,coverage,coverage_per_time
wordnet,query_4_1,VEQ,CFL,MM,494.941,14522.1,5188264,61374,4.226248269878323
wordnet,query_4_1,VEQ,CFL,MMN,474.894,11939.9,5188264,61374,5.140244055645358
wordnet,query_4_1,VEQ,CFL,MMI,612.537,6836.27,5188264,61374,8.977702753109517
wordnet,query_4_2,VEQ,CFL,MM,659.168,32812.6,5684888,63098,1.9229808061537337
wordnet,query_4_2,VEQ,CFL,MMN,582.789,25938.3,5684888,63098,2.432618945728903
wordnet,query_4_2,VEQ,CFL,MMI,726.106,24878.8,5684888,63098,2.536215573098381
wordnet,query_4_3,VEQ,CFL,MM,590.76,33766.6,5684888,63098,1.8686512707823708
wordnet,query_4_3,VEQ,CFL,MMN,674.721,27484.3,5684888,63098,2.2957834108927644
wordnet,query_4_3,VEQ,CFL,MMI,606.591,25614.2,5684888,63098,2.4633992082516727
wordnet,query_4_4,VEQ,CFL,MM,733.272,34447.4,5684888,63098,1.831720245940187
wordnet,query_4_4,VEQ,CFL,MMN,646.606,27041.1,5684888,63098,2.333410992895999
wordnet,query_4_4,VEQ,CFL,MMI,635.631,25352.7,5684888,63098,2.488807898172581
wordnet,query_4_5,VEQ,CFL,MM,748.593,34699.2,5684888,63098,1.8184280905611658
wordnet,query_4_5,VEQ,CFL,MMN,637.43,27546.7,5684888,63098,2.2905829010371477
wordnet,query_4_5,VEQ,CFL,MMI,668.467,26418.1,5684888,63098,2.3884382298499895
wordnet,query_4_6,VEQ,CFL,MM,734.66,35983.4,5684888,63098,1.7535307947553593
wordnet,query_4_6,VEQ,CFL,MMN,649.98,28188.1,5684888,63098,2.2384623298484114
wordnet,query_4_6,VEQ,CFL,MMI,690.859,26336.0,5684888,63098,2.3958839611178613
wordnet,query_4_7,VEQ,CFL,MM,545.974,32188.6,5845624,18385,0.5711649465959998
wordnet,query_4_7,VEQ,CFL,MMN,560.755,31475.2,5845624,18385,0.5841106649044326
wordnet,query_4_7,VEQ,CFL,MMI,646.59,31709.9,5845624,18385,0.5797873850122517
wordnet,query_4_8,VEQ,CFL,MM,653.186,35187.4,5684888,63098,1.7931987018080335
wordnet,query_4_8,VEQ,CFL,MMN,763.228,27490.1,5684888,63098,2.2952990349253004
wordnet,query_4_8,VEQ,CFL,MMI,644.547,25956.2,5684888,63098,2.430941355051972
wordnet,query_4_9,VEQ,CFL,MM,529.754,15484.0,5188264,61374,3.963704469129424
wordnet,query_4_9,VEQ,CFL,MMN,521.85,13977.7,5188264,61374,4.390851141461042
wordnet,query_4_9,VEQ,CFL,MMI,517.864,6988.54,5188264,61374,8.782091824615728
wordnet,query_4_10,VEQ,CFL,MM,668.687,35216.1,5684888,63098,1.7917373019726774
wordnet,query_4_10,VEQ,CFL,MMN,638.216,27866.0,5684888,63098,2.2643364673796023
wordnet,query_4_10,VEQ,CFL,MMI,769.735,26184.5,5684888,63098,2.4097462239110925
wordnet,query_4_11,VEQ,CFL,MM,634.865,35860.5,5684888,63098,1.7595404414327742
wordnet,query_4_11,VEQ,CFL,MMN,722.177,27639.3,5684888,63098,2.282908756734071
wordnet,query_4_11,VEQ,CFL,MMI,660.822,26277.0,5684888,63098,2.4012634623434943
wordnet,query_4_12,VEQ,CFL,MM,182.334,728.667,1167892,38494,52.82797217384621
wordnet,query_4_12,VEQ,CFL,MMN,168.705,709.675,1167892,38494,54.241730369535354
wordnet,query_4_12,VEQ,CFL,MMI,170.011,682.007,1167892,38494,56.442235930129755
wordnet,query_4_13,VEQ,CFL,MM,652.478,36046.7,5684888,63098,1.750451497640561
wordnet,query_4_13,VEQ,CFL,MMN,754.478,29166.5,5684888,63098,2.1633723621277836
wordnet,query_4_13,VEQ,CFL,MMI,653.913,27288.6,5684888,63098,2.3122476052270913
wordnet,query_4_14,VEQ,CFL,MM,637.02,36639.1,5684888,63098,1.7221492886015215
wordnet,query_4_14,VEQ,CFL,MMN,699.23,27954.7,5684888,63098,2.2571517490797612
wordnet,query_4_14,VEQ,CFL,MMI,632.368,26491.7,5684888,63098,2.3818026023245014
wordnet,query_4_15,VEQ,CFL,MM,760.077,36036.6,5684888,63098,1.7509420977561703
wordnet,query_4_15,VEQ,CFL,MMN,736.975,28370.8,5684888,63098,2.224047259858728
wordnet,query_4_15,VEQ,CFL,MMI,657.545,26216.1,5684888,63098,2.40684159733904
wordnet,query_4_16,VEQ,CFL,MM,740.613,37212.1,5684888,63098,1.6956312597246594
wordnet,query_4_16,VEQ,CFL,MMN,643.118,27701.5,5684888,63098,2.2777827915455844
wordnet,query_4_16,VEQ,CFL,MMI,691.916,26682.9,5684888,63098,2.3647354672842904
wordnet,query_4_17,VEQ,CFL,MM,40.349,137.588,172888,5074,36.87821612349914
wordnet,query_4_17,VEQ,CFL,MMN,28.4867,100.515,172888,5074,50.480027856538825
wordnet,query_4_17,VEQ,CFL,MMI,23.1312,77.9742,172888,5074,65.07280613331076
wordnet,query_4_18,VEQ,CFL,MM,681.768,39631.3,5684888,63098,1.5921254160221843
wordnet,query_4_18,VEQ,CFL,MMN,637.126,28364.2,5684888,63098,2.2245647682642202
wordnet,query_4_18,VEQ,CFL,MMI,757.544,26776.6,5684888,63098,2.356460491623283
wordnet,query_4_19,VEQ,CFL,MM,651.965,16229.6,5188264,61374,3.781608912111204
wordnet,query_4_19,VEQ,CFL,MMN,539.695,12923.1,5188264,61374,4.749170090767695
wordnet,query_4_19,VEQ,CFL,MMI,624.041,7196.82,5188264,61374,8.52793317048363
wordnet,query_4_20,VEQ,CFL,MM,654.302,35718.8,5684888,63098,1.7665207117820305
wordnet,query_4_20,VEQ,CFL,MMN,736.792,26871.1,5684888,63098,2.3481733163138094
wordnet,query_4_20,VEQ,CFL,MMI,625.794,25291.9,5684888,63098,2.494790822358146
wordnet,query_4_21,VEQ,CFL,MM,562.106,15167.7,5188264,61374,4.046361676457209
wordnet,query_4_21,VEQ,CFL,MMN,608.01,12633.6,5188264,61374,4.857997720364741
wordnet,query_4_21,VEQ,CFL,MMI,505.623,7161.15,5188264,61374,8.570411176975766
wordnet,query_4_22,VEQ,CFL,MM,645.275,35338.9,5684888,63098,1.7855111506017447
wordnet,query_4_22,VEQ,CFL,MMN,806.231,27452.1,5684888,63098,2.298476255004171
wordnet,query_4_22,VEQ,CFL,MMI,629.72,25877.9,5684888,63098,2.438296770603488
wordnet,query_4_23,VEQ,CFL,MM,638.227,35129.0,5684888,63098,1.7961797944718039
wordnet,query_4_23,VEQ,CFL,MMN,651.735,26721.8,5684888,63098,2.361293026667365
wordnet,query_4_23,VEQ,CFL,MMI,743.354,25948.7,5684888,63098,2.4316439744572946
wordnet,query_4_24,VEQ,CFL,MM,596.905,30928.4,5845624,18385,0.5944374749421244
wordnet,query_4_24,VEQ,CFL,MMN,539.026,31119.8,5845624,18385,0.5907814317572735
wordnet,query_4_24,VEQ,CFL,MMI,534.424,30802.8,5845624,18385,0.596861324295194
wordnet,query_4_25,VEQ,CFL,MM,682.396,34631.7,5684888,63098,1.8219723548078786
wordnet,query_4_25,VEQ,CFL,MMN,638.07,26999.4,5684888,63098,2.3370148966273323
wordnet,query_4_25,VEQ,CFL,MMI,680.647,26256.6,5684888,63098,2.403129118012233
wordnet,query_4_26,VEQ,CFL,MM,647.953,35346.1,5684888,63098,1.7851474420091609
wordnet,query_4_26,VEQ,CFL,MMN,736.365,27621.2,5684888,63098,2.284404732596701
wordnet,query_4_26,VEQ,CFL,MMI,643.602,25914.8,5684888,63098,2.434824887708954
wordnet,query_4_27,VEQ,CFL,MM,726.562,34702.5,5684888,63098,1.8182551689359556
wordnet,query_4_27,VEQ,CFL,MMN,742.524,27157.0,5684888,63098,2.3234525168464852
wordnet,query_4_27,VEQ,CFL,MMI,658.08,25849.9,5684888,63098,2.4409378759685723
wordnet,query_4_28,VEQ,CFL,MM,641.82,15618.8,5188264,61374,3.9294952237047664
wordnet,query_4_28,VEQ,CFL,MMN,610.284,13252.2,5188264,61374,4.631231040883778
wordnet,query_4_28,VEQ,CFL,MMI,533.843,6986.22,5188264,61374,8.785008201860233
wordnet,query_4_29,VEQ,CFL,MM,624.471,35152.4,5684888,63098,1.7949841262616493
wordnet,query_4_29,VEQ,CFL,MMN,739.888,26827.0,5684888,63098,2.352033399187386
wordnet,query_4_29,VEQ,CFL,MMI,728.728,25863.2,5684888,63098,2.4396826378793035
wordnet,query_4_30,VEQ,CFL,MM,634.613,35496.6,5684888,63098,1.7775786976780876
wordnet,query_4_30,VEQ,CFL,MMN,651.263,27468.6,5684888,63098,2.297095592785945
wordnet,query_4_30,VEQ,CFL,MMI,608.623,25448.6,5684888,63098,2.4794291238024884
wordnet,query_4_31,VEQ,CFL,MM,658.065,34696.6,5684888,63098,1.8185643550088482
wordnet,query_4_31,VEQ,CFL,MMN,627.458,26971.4,5684888,63098,2.3394410375434718
wordnet,query_4_31,VEQ,CFL,MMI,632.268,25525.3,5684888,63098,2.471978781836061
wordnet,query_4_32,VEQ,CFL,MM,19.036,36.5711,172240,2555,69.86390893355683
wordnet,query_4_32,VEQ,CFL,MMN,19.3248,32.2885,172240,2555,79.13034052371587
wordnet,query_4_32,VEQ,CFL,MMI,19.0113,30.0045,172240,2555,85.15389358262927
wordnet,query_4_33,VEQ,CFL,MM,646.305,34260.4,5684888,63098,1.841718135223173
wordnet,query_4_33,VEQ,CFL,MMN,736.489,27601.3,5684888,63098,2.286051743939597
wordnet,query_4_33,VEQ,CFL,MMI,662.158,25879.5,5684888,63098,2.438146022913889
wordnet,query_4_34,VEQ,CFL,MM,539.627,15391.2,5188264,61374,3.987603305785124
wordnet,query_4_34,VEQ,CFL,MMN,540.191,13582.1,5188264,61374,4.518741578989994
wordnet,query_4_34,VEQ,CFL,MMI,615.302,7158.21,5188264,61374,8.57393119229528
wordnet,query_4_35,VEQ,CFL,MM,739.551,35371.9,5684888,63098,1.7838453687814337
wordnet,query_4_35,VEQ,CFL,MMN,749.556,27644.0,5684888,63098,2.282520619302561
wordnet,query_4_35,VEQ,CFL,MMI,774.403,25577.5,5684888,63098,2.4669338285602582
wordnet,query_4_36,VEQ,CFL,MM,20.841,31.8826,103072,3424,107.39400174389793
wordnet,query_4_36,VEQ,CFL,MMN,14.2739,20.2285,103072,3424,169.26613441431644
wordnet,query_4_36,VEQ,CFL,MMI,17.022,22.8058,103072,3424,150.1372457883521
wordnet,query_4_37,VEQ,CFL,MM,11.425,20.0158,53712,1525,76.18981005006046
wordnet,query_4_37,VEQ,CFL,MMN,11.4382,19.5238,53712,1525,78.10979419989961
wordnet,query_4_37,VEQ,CFL,MMI,22.3542,35.8237,53712,1525,42.56958382299985
wordnet,query_4_38,VEQ,CFL,MM,618.527,33858.4,5684888,63098,1.8635848120407343
wordnet,query_4_38,VEQ,CFL,MMN,626.567,26378.3,5684888,63098,2.3920419435672504
wordnet,query_4_38,VEQ,CFL,MMI,752.06,25762.2,5684888,63098,2.449247346888076
wordnet,query_4_39,VEQ,CFL,MM,27.2662,49.9436,92664,3661,73.30268542916409
wordnet,query_4_39,VEQ,CFL,MMN,31.9888,56.2173,92664,3661,65.1223022094622
wordnet,query_4_39,VEQ,CFL,MMI,16.2447,27.1975,92664,3661,134.60796029046787
wordnet,query_4_40,VEQ,CFL,MM,511.806,15012.5,5188264,61374,4.08819317235637
wordnet,query_4_40,VEQ,CFL,MMN,540.49,12529.0,5188264,61374,4.898555351584324
wordnet,query_4_40,VEQ,CFL,MMI,540.243,6825.89,5188264,61374,8.991354973490637
wordnet,query_4_41,VEQ,CFL,MM,645.049,34533.5,5684888,63098,1.827153343854518
wordnet,query_4_41,VEQ,CFL,MMN,748.437,27287.5,5684888,63098,2.312340815391663
wordnet,query_4_41,VEQ,CFL,MMI,624.421,25656.3,5684888,63098,2.4593569610582975
wordnet,query_4_42,VEQ,CFL,MM,522.001,15232.9,5188264,61374,4.02904240164381
wordnet,query_4_42,VEQ,CFL,MMN,519.14,12853.7,5188264,61374,4.774811921859075
wordnet,query_4_42,VEQ,CFL,MMI,529.346,7069.61,5188264,61374,8.681384121613497
wordnet,query_4_43,VEQ,CFL,MM,610.102,34519.1,5684888,63098,1.8279155597915357
wordnet,query_4_43,VEQ,CFL,MMN,668.942,27949.0,5684888,63098,2.2576120791441556
wordnet,query_4_43,VEQ,CFL,MMI,760.016,26627.2,5684888,63098,2.3696821295517365
wordnet,query_4_44,VEQ,CFL,MM,16.1738,24.1356,49816,1756,72.75559754056249
wordnet,query_4_44,VEQ,CFL,MMN,11.2291,17.181,49816,1756,102.20592514987486
wordnet,query_4_44,VEQ,CFL,MMI,10.6069,14.4975,49816,1756,121.12433178134161
wordnet,query_4_45,VEQ,CFL,MM,5.44146,5.86766,9336,527,89.81433825409107
wordnet,query_4_45,VEQ,CFL,MMN,5.41767,5.83498,9336,527,90.31736184185722
wordnet,query_4_45,VEQ,CFL,MMI,9.67103,10.502,9336,527,50.18091792039611
wordnet,query_4_46,VEQ,CFL,MM,758.629,36047.8,5684888,63098,1.7503980825459526
wordnet,query_4_46,VEQ,CFL,MMN,763.257,27730.9,5684888,63098,2.2753679108864118
wordnet,query_4_46,VEQ,CFL,MMI,760.573,26513.2,5684888,63098,2.379871158517267
wordnet,query_4_47,VEQ,CFL,MM,732.306,35982.8,5684888,63098,1.7535600342385804
wordnet,query_4_47,VEQ,CFL,MMN,654.396,28582.0,5684888,63098,2.2076131831222447
wordnet,query_4_47,VEQ,CFL,MMI,673.375,27704.3,5684888,63098,2.277552582090145
wordnet,query_4_48,VEQ,CFL,MM,676.365,37193.7,5684888,63098,1.6964701011192758
wordnet,query_4_48,VEQ,CFL,MMN,839.463,29383.4,5684888,63098,2.1474029554101977
wordnet,query_4_48,VEQ,CFL,MMI,690.334,28007.4,5684888,63098,2.252904589501346
wordnet,query_4_49,VEQ,CFL,MM,5.22933,5.37874,4976,41,7.622603063170929
wordnet,query_4_49,VEQ,CFL,MMN,5.25336,5.40381,4976,41,7.587239373701148
wordnet,query_4_49,VEQ,CFL,MMI,5.21915,5.39215,4976,41,7.603646041004052
wordnet,query_4_50,VEQ,CFL,MM,462.115,10769.7,5077364,3575,0.331949822186319
wordnet,query_4_50,VEQ,CFL,MMN,538.751,10787.8,5077364,3575,0.33139286972320586
wordnet,query_4_50,VEQ,CFL,MMI,464.857,12905.3,5077364,3575,0.27701796936142514
