data,query,filter,order,engine,preproc_time,total_time,mem_cost,coverage,coverage_per_time
yeast,query_32_1,VEQ,CFL,MM,3.94178,4.32443,3092,52,12.02470614624355
yeast,query_32_1,VEQ,CFL,MMN,3.6,3.9652,3092,52,13.114092605669324
yeast,query_32_1,VEQ,CFL,MMI,3.55667,3.93095,3092,52,13.228354469021482
yeast,query_32_2,VEQ,CFL,MM,2.7008,22.222,3648,91,4.095040950409504
yeast,query_32_2,VEQ,CFL,MMN,2.61048,21.2297,3648,91,4.2864477595067285
yeast,query_32_2,VEQ,CFL,MMI,5.11575,32.4631,3648,91,2.8031826905009076
yeast,query_32_3,VEQ,CFL,MM,14.8024,81736.6,10268,233,0.0028506201628156784
yeast,query_32_3,VEQ,CFL,MMN,7.16393,78217.3,10268,233,0.002978880631266996
yeast,query_32_3,VEQ,CFL,MMI,5.65552,76001.2,10268,233,0.003065741067246307
yeast,query_32_4,VEQ,CFL,MM,2.03259,93.09,7116,173,1.8584165860994735
yeast,query_32_4,VEQ,CFL,MMN,2.67474,125.416,7116,173,1.379409325763858
yeast,query_32_4,VEQ,CFL,MMI,3.58361,99.7955,7116,173,1.7335450997289457
yeast,query_32_5,VEQ,CFL,MM,2.41667,560.438,5948,122,0.2176868806183735
yeast,query_32_5,VEQ,CFL,MMN,2.34916,678.477,5948,122,0.17981449629095755
yeast,query_32_5,VEQ,CFL,MMI,2.39688,508.322,5948,122,0.24000535093897174
yeast,query_32_6,VEQ,CFL,MM,7.17564,43.1442,4816,110,2.54958951608791
yeast,query_32_6,VEQ,CFL,MMN,6.8523,40.7197,4816,110,2.7013951478031517
yeast,query_32_6,VEQ,CFL,MMI,10.1772,73.3231,4816,110,1.5002093473952958
yeast,query_32_7,VEQ,CFL,MM,9.5862,292.856,6456,141,0.4814652935230967
yeast,query_32_7,VEQ,CFL,MMN,5.22139,260.447,6456,141,0.5413769404139805
yeast,query_32_7,VEQ,CFL,MMI,5.20517,298.254,6456,141,0.4727514132249693
yeast,query_32_8,VEQ,CFL,MM,8.28292,8.56688,3492,66,7.704088302859384
yeast,query_32_8,VEQ,CFL,MMN,7.96337,8.21815,3492,66,8.031004544818481
yeast,query_32_8,VEQ,CFL,MMI,9.4484,9.77925,3492,66,6.748983817777438
yeast,query_32_9,VEQ,CFL,MM,12.5835,100014.0,40068,236,0.0023596696462495253
yeast,query_32_9,VEQ,CFL,MMN,11.5925,100013.0,40068,236,0.0023596932398788155
yeast,query_32_9,VEQ,CFL,MMI,11.6086,100013.0,40068,236,0.0023596932398788155
yeast,query_32_10,VEQ,CFL,MM,2.6423,9.52885,5976,86,9.025223400515276
yeast,query_32_10,VEQ,CFL,MMN,3.68941,10.177,5976,86,8.450427434410926
yeast,query_32_10,VEQ,CFL,MMI,5.0417,18.1372,5976,86,4.741635974681869
yeast,query_32_11,VEQ,CFL,MM,7.55788,13.4343,23336,73,5.433852154559597
yeast,query_32_11,VEQ,CFL,MMN,7.20503,12.0112,23336,73,6.0776608498734515
yeast,query_32_11,VEQ,CFL,MMI,7.43726,12.9908,23336,73,5.619361394217446
yeast,query_32_12,VEQ,CFL,MM,9.05681,20.4558,4888,149,7.283997692585966
yeast,query_32_12,VEQ,CFL,MMN,4.63411,10.2755,4888,149,14.500510924042628
yeast,query_32_12,VEQ,CFL,MMI,4.46923,9.53288,4888,149,15.630113879541124
yeast,query_32_13,VEQ,CFL,MM,1.6386,9.59394,4352,79,8.234364609326304
yeast,query_32_13,VEQ,CFL,MMN,1.42516,8.11194,4352,79,9.738730809152926
yeast,query_32_13,VEQ,CFL,MMI,1.64706,9.46661,4352,79,8.34512037572056
yeast,query_32_14,VEQ,CFL,MM,3.63078,14.1943,3504,135,9.51085999309582
yeast,query_32_14,VEQ,CFL,MMN,3.63028,14.1031,3504,135,9.572363522913403
yeast,query_32_14,VEQ,CFL,MMI,3.62858,14.245,3504,135,9.477009477009478
yeast,query_32_15,VEQ,CFL,MM,13.6388,100015.0,51724,339,0.0033894915762635604
yeast,query_32_15,VEQ,CFL,MMN,13.4762,100015.0,51724,339,0.0033894915762635604
yeast,query_32_15,VEQ,CFL,MMI,13.5863,100015.0,51724,339,0.0033894915762635604
yeast,query_32_16,VEQ,CFL,MM,8.52149,12.0171,10620,74,6.157891671035442
yeast,query_32_16,VEQ,CFL,MMN,5.75671,8.14319,10620,74,9.087347832974546
yeast,query_32_16,VEQ,CFL,MMI,8.55935,11.8827,10620,74,6.227540878756511
yeast,query_32_17,VEQ,CFL,MM,8.84153,9.02674,3872,56,6.2037900726065
yeast,query_32_17,VEQ,CFL,MMN,14.2848,14.6314,3872,56,3.827384939240264
yeast,query_32_17,VEQ,CFL,MMI,6.89014,7.0682,3872,56,7.922809201776973
yeast,query_32_18,VEQ,CFL,MM,5.45202,65.6708,5764,144,2.1927553798644146
yeast,query_32_18,VEQ,CFL,MMN,2.81873,47.3819,5764,144,3.0391351971955536
yeast,query_32_18,VEQ,CFL,MMI,2.82154,47.8742,5764,144,3.0078831604496785
yeast,query_32_19,VEQ,CFL,MM,4.48031,22271.1,9288,170,0.0076332107529488895
yeast,query_32_19,VEQ,CFL,MMN,4.50341,21946.9,9288,170,0.007745968678947824
yeast,query_32_19,VEQ,CFL,MMI,4.45075,22114.4,9288,170,0.007687298773649748
yeast,query_32_20,VEQ,CFL,MM,7.88806,100009.0,23540,336,0.0033596976272135507
yeast,query_32_20,VEQ,CFL,MMN,7.88806,100009.0,23540,336,0.0033596976272135507
yeast,query_32_20,VEQ,CFL,MMI,7.89061,100009.0,23540,336,0.0033596976272135507
yeast,query_32_21,VEQ,CFL,MM,3.2273,3.41923,1928,48,14.03824837755869
yeast,query_32_21,VEQ,CFL,MMN,3.14833,3.32931,1928,48,14.4174018039774
yeast,query_32_21,VEQ,CFL,MMI,2.31989,2.4667,1928,48,19.45919649734463
yeast,query_32_22,VEQ,CFL,MM,3.34405,3.5783,4284,56,15.64988961238577
yeast,query_32_22,VEQ,CFL,MMN,3.95317,4.1955,4284,56,13.347634370158502
yeast,query_32_22,VEQ,CFL,MMI,3.46591,3.75101,4284,56,14.929312371867844
yeast,query_32_23,VEQ,CFL,MM,6.6516,58.4259,11452,287,4.9122050323572255
yeast,query_32_23,VEQ,CFL,MMN,6.48813,55.9268,11452,287,5.1317078752941345
yeast,query_32_23,VEQ,CFL,MMI,5.86402,44.0171,11452,287,6.520193288517417
yeast,query_32_24,VEQ,CFL,MM,3.07061,3.57314,2316,60,16.791953295980566
yeast,query_32_24,VEQ,CFL,MMN,2.43296,2.75355,2316,60,21.790052840878136
yeast,query_32_24,VEQ,CFL,MMI,6.07674,7.02432,2316,60,8.541752084187507
yeast,query_32_25,VEQ,CFL,MM,8.74772,100010.0,34876,173,0.0017298270172982702
