data,query,filter,order,engine,preproc_time,total_time,mem_cost,coverage,coverage_per_time
youtube,query_32_1,VEQ,CFL,MM,929.201,100937,808696,1436,0.014226695859793732
youtube,query_32_1,VEQ,CFL,MMN,977.065,100983,808696,1437,0.014230117940643475
youtube,query_32_1,VEQ,CFL,MMI,931.577,100937,808696,3122,0.03093018417428693
youtube,query_32_2,VEQ,CFL,MM,967.425,100971,907144,7715,0.07640807756682612
youtube,query_32_2,VEQ,CFL,MMN,957.597,100961,907144,7729,0.07655431305157437
youtube,query_32_2,VEQ,CFL,MMI,990.237,100992,907144,8382,0.08299667300380228
youtube,query_32_3,VEQ,CFL,MM,968.386,100970,882648,4886,0.04839061107259582
youtube,query_32_3,VEQ,CFL,MMN,961.416,100963,882648,4889,0.04842367996196627
youtube,query_32_3,VEQ,CFL,MMI,967.666,100971,882648,5931,0.058739638113913896
youtube,query_32_4,VEQ,CFL,MM,999.836,101001,925496,7434,0.07360323165117177
youtube,query_32_4,VEQ,CFL,MMN,1015.26,101017,925496,7435,0.07360147301939278
youtube,query_32_4,VEQ,CFL,MMI,1016.37,101018,925496,8397,0.08312379971886198
youtube,query_32_5,VEQ,CFL,MM,910.986,100912,899796,5925,0.05871452354526716
youtube,query_32_5,VEQ,CFL,MMN,906.408,100908,899796,5928,0.058746581044119395
youtube,query_32_5,VEQ,CFL,MMI,938.518,100942,899796,6608,0.06546333538071368
youtube,query_32_6,VEQ,CFL,MM,835.653,100839,710376,4564,0.045260266365196006
youtube,query_32_6,VEQ,CFL,MMN,829.208,100833,710376,4667,0.04628445052710918
youtube,query_32_6,VEQ,CFL,MMI,828.287,100833,710376,5442,0.053970426348516856
youtube,query_32_7,VEQ,CFL,MM,789.12,100794,520980,2363,0.02344385578506657
youtube,query_32_7,VEQ,CFL,MMN,775.121,100777,520980,2363,0.02344781051231928
youtube,query_32_7,VEQ,CFL,MMI,752.188,100757,520980,2045,0.02029635658068422
youtube,query_32_8,VEQ,CFL,MM,993.613,100997,902952,6234,0.06172460568135687
youtube,query_32_8,VEQ,CFL,MMN,997.658,101001,902952,6254,0.061920179008128635
youtube,query_32_8,VEQ,CFL,MMI,1038.38,101042,902952,7338,0.07262326557273213
youtube,query_32_9,VEQ,CFL,MM,923.481,100929,804196,2431,0.02408623884116557
youtube,query_32_9,VEQ,CFL,MMN,981.359,100988,804196,2431,0.024072166990137443
youtube,query_32_9,VEQ,CFL,MMI,936.341,100941,804196,2921,0.028937696278023797
youtube,query_32_10,VEQ,CFL,MM,911.082,100917,824012,6459,0.06400309164957341
youtube,query_32_10,VEQ,CFL,MMN,909.591,100913,824012,6465,0.06406508576694776
youtube,query_32_10,VEQ,CFL,MMI,926.857,100930,824012,6824,0.06761121569404538
youtube,query_32_11,VEQ,CFL,MM,895.064,100896,745932,7786,0.0771685696162385
youtube,query_32_11,VEQ,CFL,MMN,923.771,100928,745932,7798,0.07726299936588459
youtube,query_32_11,VEQ,CFL,MMI,859.565,100861,745932,6806,0.06747900576040293
youtube,query_32_12,VEQ,CFL,MM,879.941,100884,852832,5165,0.051197414852702114
youtube,query_32_12,VEQ,CFL,MMN,991.459,100993,852832,5174,0.05123127345459586
youtube,query_32_12,VEQ,CFL,MMI,908.08,100912,852832,5548,0.054978595211669576
youtube,query_32_13,VEQ,CFL,MM,859.318,100864,615064,3367,0.03338158312182741
youtube,query_32_13,VEQ,CFL,MMN,847.066,100852,615064,3388,0.033593780985999286
