data,query,memory_usage,time_cost,MatCo_num_results,coverage,coverage_per_time
dblp,query_8_1,668,68.6342,1478,2657,38.712478618531286
dblp,query_8_2,600,20.182,283,421,20.860172430879004
dblp,query_8_3,664,261.874,2212,3586,13.693608376547498
dblp,query_8_4,600,317.927,2617,4092,12.870879164084837
dblp,query_8_5,664,80.7975,1214,1927,23.849747826356015
dblp,query_8_6,664,23.188,397,702,30.2742797998965
dblp,query_8_7,604,437.409,2516,4054,9.268213502694275
dblp,query_8_8,664,27.2782,1137,2025,74.23510348923317
dblp,query_8_9,668,500.015,2768,4897,9.793706188814335
dblp,query_8_10,600,45.8987,565,967,21.068134827348054
dblp,query_8_11,664,21.658,457,771,35.598854926586014
dblp,query_8_12,668,45.3618,342,585,12.896313638347683
dblp,query_8_13,664,66.6707,551,899,13.484184206855486
dblp,query_8_14,536,100.621,1049,1671,16.606871329046623
dblp,query_8_15,688,52.5458,500,933,17.75593862877718
dblp,query_8_16,664,20.2523,225,382,18.862055173980238
dblp,query_8_17,668,499.64,2728,4496,8.998478904811465
dblp,query_8_18,664,178.255,587,959,5.3799332417043
dblp,query_8_19,688,28.7688,1105,1887,65.59189121548344
dblp,query_8_20,600,30.9754,710,1104,35.6411862316548
dblp,query_8_21,560,39.6304,1636,2846,71.8135572691671
dblp,query_8_22,668,27.7132,609,1021,36.84164946668014
dblp,query_8_23,668,53.5797,532,854,15.938872371439182
dblp,query_8_24,536,930.919,558,905,0.9721576205878277
dblp,query_8_25,664,293.909,2964,4655,15.838235644366113
dblp,query_8_26,668,500.296,2833,4910,9.814189999520284
dblp,query_8_27,668,39.626,935,1501,37.87917024176046
dblp,query_8_28,668,362.397,2480,3971,10.957596227341838
dblp,query_8_29,600,31.3599,798,1323,42.18763452689581
dblp,query_8_30,596,27.1162,1026,1573,58.009603115480786
dblp,query_8_31,664,21.1287,637,975,46.14576381888143
dblp,query_8_32,600,22.4654,555,958,42.64335377958995
dblp,query_8_33,596,23.5301,516,965,41.01130041946273
dblp,query_8_34,600,477.107,2539,4218,8.840784142760429
dblp,query_8_35,596,40.8211,519,863,21.14102755682723
dblp,query_8_36,664,31.1484,631,1005,32.26489964171515
dblp,query_8_37,600,144.957,2203,3867,26.676876590989053
dblp,query_8_38,664,74.9423,1683,2916,38.90993470977005
dblp,query_8_39,664,28.5764,772,1349,47.20678601923265
dblp,query_8_40,604,659.027,2533,4083,6.195497301324528
dblp,query_8_41,668,37.4945,632,1339,35.711904412647186
dblp,query_8_42,600,37.2516,411,648,17.39522597687079
dblp,query_8_43,600,23.5826,437,744,31.54868419936733
dblp,query_8_44,664,102.93,2050,3484,33.84824638103565
dblp,query_8_45,600,49.2719,2139,3491,70.8517430827713
dblp,query_8_46,668,449.354,2644,4420,9.836342838830856
dblp,query_8_47,668,24.5658,1142,1795,73.0690634947773
dblp,query_8_48,604,332.99,3036,4487,13.474879125499264
dblp,query_8_49,600,370.153,2948,4895,13.224261318968102
dblp,query_8_50,596,20.1345,295,448,22.250366286721796
