data,query,memory_usage,time_cost,MatCo_num_results,coverage,coverage_per_time
eu2005,query_16_1,2104,43565.0,7019,7982,0.18322047515207163
eu2005,query_16_2,1992,100003.0,1603,2020,0.020199394018179453
eu2005,query_16_3,1812,100007.0,2156,2773,0.02772805903586749
eu2005,query_16_4,2188,2795.32,7190,7676,2.7460183449479842
eu2005,query_16_5,2200,100001.0,4279,4890,0.04889951100488995
eu2005,query_16_6,2168,7316.2,1811,2214,0.30261611218938794
eu2005,query_16_7,1992,100007.0,1076,1664,0.016638835281530293
eu2005,query_16_8,1868,100007.0,2917,3569,0.03568750187486876
eu2005,query_16_9,1824,22303.9,2031,2494,0.11181900923156936
eu2005,query_16_10,1792,100009.0,1443,1696,0.016958473737363637
eu2005,query_16_11,2032,24657.3,4220,5046,0.20464527746346925
eu2005,query_16_12,1764,100008.0,4482,5484,0.054835613150947926
eu2005,query_16_13,2020,100008.0,3768,4741,0.04740620750339973
eu2005,query_16_14,1964,100007.0,5803,6844,0.06843520953533253
eu2005,query_16_15,1944,100008.0,1502,1820,0.01819854411647068
eu2005,query_16_16,1796,100007.0,8052,9534,0.0953333266671333
eu2005,query_16_17,1844,100007.0,571,620,0.006199566030377874
eu2005,query_16_18,1960,100003.0,3471,4071,0.0407087787366379
eu2005,query_16_19,1616,100007.0,1593,1935,0.019348645594808363
eu2005,query_16_20,1980,26386.5,4139,4864,0.184336687321168
eu2005,query_16_21,1852,37431.5,4373,4950,0.13224156125188677
eu2005,query_16_22,1660,100007.0,1475,1737,0.017368784185107043
eu2005,query_16_23,1816,100007.0,2081,2740,0.0273980821342506
eu2005,query_16_24,1916,100004.0,4611,5845,0.05844766209351626
eu2005,query_16_25,1892,100008.0,2297,2678,0.02677785777137829
eu2005,query_16_26,1848,100008.0,365,472,0.0047196224302055835
eu2005,query_16_27,1872,100007.0,2654,2967,0.029667923245372825
eu2005,query_16_28,1656,304.935,3630,4133,13.553708167314346
eu2005,query_16_29,1964,100007.0,1716,2112,0.021118521703480757
eu2005,query_16_30,1968,786.628,3569,4376,5.562985299277422
eu2005,query_16_31,1948,100002.0,6041,6920,0.06919861602767945
eu2005,query_16_32,1796,100008.0,1563,1886,0.018858491320694344
eu2005,query_16_33,2092,100002.0,5746,6582,0.06581868362632748
eu2005,query_16_34,2400,477.99,7181,7715,16.140505031486015
eu2005,query_16_35,2096,100007.0,4067,4786,0.047856650034497586
eu2005,query_16_36,1420,100007.0,1706,1882,0.018818682692211545
eu2005,query_16_37,2196,100007.0,771,864,0.008639395242333037
eu2005,query_16_38,1864,100007.0,4026,4523,0.045226834121611485
eu2005,query_16_39,1972,100007.0,6668,8279,0.0827842051056426
eu2005,query_16_40,1972,2161.13,3780,4407,2.0392109683360093
eu2005,query_16_41,1800,100007.0,5791,6632,0.06631535792494525
eu2005,query_16_42,1916,100007.0,2515,3200,0.031997760156789026
eu2005,query_16_43,2384,100007.0,5948,6200,0.06199566030377873
eu2005,query_16_44,2092,1506.14,5113,6010,3.9903329039797093
eu2005,query_16_45,2044,100002.0,4623,5239,0.05238895222095558
eu2005,query_16_46,2356,8716.51,6810,7530,0.8638778593726159
eu2005,query_16_47,2084,100007.0,2999,3117,0.03116781825272231
eu2005,query_16_48,2064,311.742,2219,2592,8.314567815693746
eu2005,query_16_49,2068,100007.0,1826,2094,0.02093853430259882
eu2005,query_16_50,1972,1956.35,2094,2632,1.3453625373782812
