data,query,memory_usage,time_cost,MatCo_num_results,coverage,coverage_per_time
human,query_32_1,3352,100000.0,90,124,0.00124
human,query_32_2,3564,100000.0,0,0,0.0
human,query_32_3,3596,100000.0,200,231,0.00231
human,query_32_4,3340,100000.0,0,0,0.0
human,query_32_5,3512,100000.0,171,202,0.00202
human,query_32_6,3592,100000.0,68,100,0.001
human,query_32_7,3604,100000.0,87,118,0.00118
human,query_32_8,3584,100000.0,0,0,0.0
human,query_32_9,3348,100000.0,160,191,0.00191
human,query_32_10,3608,100000.0,151,182,0.00182
human,query_32_11,3608,100000.0,200,232,0.00232
human,query_32_12,3572,100000.0,272,303,0.00303
human,query_32_13,3600,100000.0,0,0,0.0
human,query_32_14,3540,100000.0,316,351,0.00351
human,query_32_15,3352,100001.0,593,627,0.0062699373006269935
human,query_32_16,3340,100000.0,0,0,0.0
human,query_32_17,3568,100000.0,132,196,0.00196
human,query_32_18,3584,100000.0,156,192,0.00192
human,query_32_19,3352,100000.0,65,101,0.00101
human,query_32_20,3616,100000.0,584,615,0.00615
human,query_32_21,3588,100001.0,0,0,0.0
human,query_32_22,3288,100000.0,78,112,0.00112
human,query_32_23,3612,100000.0,280,312,0.00312
human,query_32_24,3348,100001.0,176,207,0.0020699793002069977
human,query_32_25,3600,100000.0,0,0,0.0
human,query_32_26,3620,100000.0,240,271,0.00271
human,query_32_27,3536,100000.0,0,0,0.0
human,query_32_28,3552,100000.0,141,175,0.00175
human,query_32_29,3588,100000.0,36,67,0.00067
human,query_32_30,3608,100001.0,175,206,0.002059979400205998
human,query_32_31,3492,100000.0,248,279,0.00279
human,query_32_32,3348,5.69543,23,54,9.481285873059628
human,query_32_33,3604,100000.0,102,133,0.00133
human,query_32_34,3280,100000.0,0,0,0.0
human,query_32_35,3616,100001.0,627,658,0.006579934200657994
human,query_32_36,3576,100001.0,586,620,0.006199938000619994
human,query_32_37,3596,100000.0,156,189,0.00189
human,query_32_38,3568,100001.0,388,430,0.0042999570004299955
human,query_32_39,3280,100000.0,104,135,0.00135
human,query_32_40,3572,100000.0,567,604,0.00604
human,query_32_41,3544,100000.0,118,149,0.00149
human,query_32_42,3588,100001.0,43,74,0.0007399926000739993
human,query_32_43,3552,100000.0,0,0,0.0
human,query_32_44,3564,100000.0,0,0,0.0
human,query_32_45,3516,100000.0,204,235,0.00235
human,query_32_46,3600,100001.0,314,345,0.0034499655003449965
human,query_32_47,3596,100000.0,0,0,0.0
human,query_32_48,3288,100000.0,605,643,0.00643
human,query_32_49,3528,100000.0,0,0,0.0
human,query_32_50,3344,100000.0,127,158,0.00158
