data,query,memory_usage,time_cost,MatCo_num_results,coverage,coverage_per_time
wordnet,query_16_1,788,100005.0,62418,62677,0.6267386630668467
wordnet,query_16_2,724,100005.0,11314,13159,0.13158342082895855
wordnet,query_16_3,788,16559.3,51626,54349,3.282083179844559
wordnet,query_16_4,664,100001.0,58580,59340,0.5933940660593394
wordnet,query_16_5,716,8.24262,47,62,7.521880178875163
wordnet,query_16_6,788,100005.0,62101,62955,0.6295185240737963
wordnet,query_16_7,724,100005.0,62299,63029,0.6302584870756462
wordnet,query_16_8,660,100005.0,61679,63024,0.6302084895755212
wordnet,query_16_9,728,100005.0,62351,63049,0.6304584770761462
wordnet,query_16_10,788,100005.0,186,282,0.0028198590070496474
wordnet,query_16_11,660,100001.0,32889,33910,0.33909660903390965
wordnet,query_16_12,768,11.7539,2318,2455,208.8668441963944
wordnet,query_16_13,660,100005.0,901,1048,0.01047947602619869
wordnet,query_16_14,660,100005.0,62165,62880,0.6287685615719214
wordnet,query_16_15,724,100005.0,0,0,0.0
wordnet,query_16_16,772,100005.0,1439,1721,0.017209139543022847
wordnet,query_16_17,664,100005.0,61715,62640,0.6263686815659217
wordnet,query_16_18,712,100005.0,11200,11595,0.1159442027898605
wordnet,query_16_19,724,100005.0,46983,47251,0.47248637568121593
wordnet,query_16_20,788,100006.0,55382,56053,0.560496370217787
wordnet,query_16_21,724,100005.0,0,0,0.0
wordnet,query_16_22,660,100005.0,0,0,0.0
wordnet,query_16_23,788,100005.0,3442,4006,0.040057997100144994
wordnet,query_16_24,660,100005.0,5895,7771,0.07770611469426529
wordnet,query_16_25,788,100005.0,62028,63039,0.6303584820758962
wordnet,query_16_26,724,100005.0,62263,63021,0.6301784910754462
wordnet,query_16_27,724,100005.0,10039,12238,0.1223738813059347
wordnet,query_16_28,660,100005.0,0,0,0.0
wordnet,query_16_29,788,100005.0,0,0,0.0
wordnet,query_16_30,788,100005.0,62494,63147,0.6314384280785961
wordnet,query_16_31,784,256.228,26602,27317,106.61207986636902
wordnet,query_16_32,776,100005.0,13011,13649,0.13648317584120795
wordnet,query_16_33,788,100005.0,5350,6101,0.06100694965251737
wordnet,query_16_34,708,31.5173,2004,2368,75.13333946753053
wordnet,query_16_35,660,1727.41,46804,51965,30.082609224214284
wordnet,query_16_36,656,100005.0,10491,11481,0.11480425978701064
wordnet,query_16_37,648,100005.0,2248,2404,0.024038798060096993
wordnet,query_16_38,788,100005.0,9103,12009,0.12008399580021
wordnet,query_16_39,788,100005.0,53831,54260,0.5425728713564322
wordnet,query_16_40,724,100005.0,62032,62614,0.6261086945652717
wordnet,query_16_41,704,100005.0,3389,3504,0.03503824808759562
wordnet,query_16_42,788,100005.0,3968,4209,0.042087895605219736
wordnet,query_16_43,660,100005.0,62318,62503,0.6249987500624968
wordnet,query_16_44,788,100005.0,61899,62698,0.6269486525673716
wordnet,query_16_45,660,100005.0,6139,6853,0.06852657367131644
wordnet,query_16_46,660,100005.0,8683,8916,0.08915554222288885
wordnet,query_16_47,716,100005.0,17965,18254,0.18253087345632718
wordnet,query_16_48,700,100005.0,473,500,0.004999750012499375
wordnet,query_16_49,788,100005.0,51934,52612,0.5260936953152342
wordnet,query_16_50,788,100005.0,19773,20158,0.2015699215039248
