data,query,memory_usage,time_cost,MatCo_num_results,coverage,coverage_per_time
yeast,query_8_1,120,2.48944,111,124,49.810399125907836
yeast,query_8_2,248,0.64118,18,26,40.55023550329081
yeast,query_8_3,248,1.05986,25,43,40.571396222142546
yeast,query_8_4,184,1.37031,25,38,27.730951390561263
yeast,query_8_5,244,0.483454,9,16,33.095185891522256
yeast,query_8_6,248,475.158,661,773,1.6268272869235074
yeast,query_8_7,252,57.2331,327,394,6.884128240476228
yeast,query_8_8,448,27.9357,136,184,6.586554122502747
yeast,query_8_9,184,0.46801,65,74,158.11627956667593
yeast,query_8_10,440,571.688,433,515,0.9008410181777473
yeast,query_8_11,248,0.875011,158,175,199.99748574589347
yeast,query_8_12,248,129.805,441,516,3.975193559570124
yeast,query_8_13,184,0.720654,84,101,140.15047443017036
yeast,query_8_14,252,3.31106,147,165,49.83298399908187
yeast,query_8_15,252,20.3294,242,279,13.723966275443447
yeast,query_8_16,572,10.4761,79,121,11.550099750861484
yeast,query_8_17,248,1.07582,94,122,113.4018702013348
yeast,query_8_18,120,1.38404,4,11,7.947747174937141
yeast,query_8_19,248,0.933815,39,59,63.181679454709986
yeast,query_8_20,248,0.824824,13,29,35.15901574154001
yeast,query_8_21,188,111.767,141,177,1.5836517039913391
yeast,query_8_22,184,2.56824,62,78,30.370993365106067
yeast,query_8_23,188,49.6989,433,484,9.738646126976652
yeast,query_8_24,248,217.987,348,423,1.9404826893346852
yeast,query_8_25,248,67.1656,228,297,4.421906452112391
yeast,query_8_26,480,0.986646,49,76,77.0286404647665
yeast,query_8_27,244,0.390222,1,8,20.501150627078943
yeast,query_8_28,576,3.63499,68,86,23.658937163513517
yeast,query_8_29,252,70.2493,365,455,6.476932866234965
yeast,query_8_30,520,7.57059,133,188,24.832939044380954
yeast,query_8_31,184,10.8741,284,306,28.140259883576572
yeast,query_8_32,180,0.862581,23,38,44.05383378488513
yeast,query_8_33,248,58.1395,555,620,10.66400639840384
yeast,query_8_34,248,0.796686,37,55,69.03598155358573
yeast,query_8_35,252,89.1749,135,182,2.0409330428181027
yeast,query_8_36,508,1903.82,640,749,0.39341954596547996
yeast,query_8_37,184,0.961951,62,99,102.91584498586727
yeast,query_8_38,544,0.523856,46,64,122.17097828410861
yeast,query_8_39,252,39.5469,269,311,7.864080370395657
yeast,query_8_40,248,0.773343,7,16,20.689396554956858
yeast,query_8_41,188,32.1112,281,334,10.401355290365979
yeast,query_8_42,184,0.402694,2,9,22.34947627727257
yeast,query_8_43,248,0.589018,55,67,113.74864605156378
yeast,query_8_44,540,0.452109,16,23,50.87268778104395
yeast,query_8_45,532,12.5072,320,387,30.94217730587182
yeast,query_8_46,568,0.462727,9,17,36.738724993354616
yeast,query_8_47,568,133.018,317,405,3.044700717196169
yeast,query_8_48,120,0.709699,15,22,30.999057346847046
yeast,query_8_49,244,0.557565,7,19,34.07674441544932
yeast,query_8_50,248,1.94573,120,138,70.92453732018318
