data,query,memory_usage,time_cost,MatCo_num_results,coverage,coverage_per_time
youtube,query_16_1,1556,100011.0,4682,5218,0.05217426083130856
youtube,query_16_2,1404,100010.0,5938,7036,0.07035296470352964
youtube,query_16_3,1600,100011.0,2775,2972,0.02971673115957245
youtube,query_16_4,1460,100010.0,2882,3379,0.03378662133786621
youtube,query_16_5,1340,100010.0,6661,7597,0.07596240375962404
youtube,query_16_6,1716,100011.0,5111,5610,0.05609382967873534
youtube,query_16_7,1660,100010.0,8054,8887,0.08886111388861113
youtube,query_16_8,1404,100010.0,4746,5188,0.05187481251874813
youtube,query_16_9,1488,100010.0,1977,2129,0.02128787121287871
youtube,query_16_10,1392,100010.0,4306,5117,0.051164883511648836
youtube,query_16_11,1388,27038.4,6862,7884,0.291585300905379
youtube,query_16_12,1412,100010.0,5795,6796,0.06795320467953204
youtube,query_16_13,1456,100010.0,7495,8646,0.08645135486451355
youtube,query_16_14,1548,100010.0,1186,1354,0.013538646135386462
youtube,query_16_15,1488,100010.0,5868,6508,0.06507349265073492
youtube,query_16_16,1496,100010.0,5829,6937,0.06936306369363064
youtube,query_16_17,1344,100010.0,5445,6219,0.06218378162183782
youtube,query_16_18,1412,100010.0,4424,4874,0.04873512648735127
youtube,query_16_19,1492,100010.0,8324,9330,0.0932906709329067
youtube,query_16_20,1480,100010.0,3017,3490,0.034896510348965105
youtube,query_16_21,1436,100010.0,4584,5316,0.05315468453154684
youtube,query_16_22,1540,100010.0,7890,8649,0.08648135186481352
youtube,query_16_23,1392,5768.86,13857,15008,2.601553859861394
youtube,query_16_24,1472,100010.0,5529,6255,0.06254374562543745
youtube,query_16_25,1472,100010.0,5819,6683,0.06682331766823317
youtube,query_16_26,1468,100010.0,5201,6200,0.061993800619938005
youtube,query_16_27,1364,151.72,15474,16272,107.25019773266544
youtube,query_16_28,1872,100010.0,5487,6576,0.06575342465753424
youtube,query_16_29,1460,100010.0,3738,4568,0.045675432456754324
youtube,query_16_30,1420,100010.0,1987,2343,0.02342765723427657
youtube,query_16_31,1396,100009.0,4200,4827,0.04826565609095181
youtube,query_16_32,1480,100010.0,1236,1523,0.015228477152284772
youtube,query_16_33,1508,100009.0,6124,6794,0.06793388595026448
youtube,query_16_34,1480,100010.0,4480,5427,0.05426457354264574
youtube,query_16_35,1428,31905.8,2106,2522,0.07904518927593103
youtube,query_16_36,1440,36607.6,18934,20732,0.5663304887509698
youtube,query_16_37,1540,100010.0,7406,8334,0.08333166683331666
youtube,query_16_38,1444,100009.0,7491,8382,0.0838124568788809
youtube,query_16_39,1388,100010.0,3863,4474,0.04473552644735526
youtube,query_16_40,1416,100010.0,5541,6718,0.06717328267173282
youtube,query_16_41,1340,100010.0,5626,6800,0.067993200679932
youtube,query_16_42,1608,99650.1,22481,24572,0.24658279319338364
youtube,query_16_43,1408,129.559,22932,23801,183.70780879753627
youtube,query_16_44,1536,47672.1,5205,6065,0.1272232605654041
youtube,query_16_45,1368,100010.0,3117,3433,0.034326567343265675
youtube,query_16_46,1308,100009.0,9459,10407,0.10406063454289113
youtube,query_16_47,1456,100010.0,4408,5127,0.05126487351264874
youtube,query_16_48,1488,100010.0,9743,10466,0.10464953504649535
youtube,query_16_49,1412,100010.0,5062,5726,0.05725427457254274
youtube,query_16_50,1556,100010.0,6970,7927,0.07926207379262074
