data,query,filter,order,mem_cost,coverage,engine_1,engine_2,engine_3,preproc_time_1,preproc_time_2,preproc_time_3,total_time_1,total_time_2,total_time_3,coverage_per_time_1,coverage_per_time_2,coverage_per_time_3
dblp,query_8_1,VEQ,CFL,101248,2657,MMN,MMI,MM,75.8795,77.0161,96.9097,340.096,344.581,382.631,7.8125,7.710814003093612,6.944027012970722
dblp,query_8_2,VEQ,CFL,39276,421,MMI,MMN,MM,43.8439,55.1203,56.2262,52.5249,63.6625,65.3712,8.015246102324802,6.612998232868643,6.440144895611523
dblp,query_8_3,VEQ,CFL,133744,3586,MMN,MM,MMI,90.5579,92.1082,106.79,172.659,181.361,269.892,20.76926195564668,19.77271850066993,13.286796199961469
dblp,query_8_4,VEQ,CFL,125760,4092,MMN,MM,MMI,100.232,122.426,124.789,131.368,163.886,167.251,31.14913829852019,24.96857571726688,24.46622142767457
dblp,query_8_5,VEQ,CFL,79264,1927,MMI,MMN,MM,54.9793,66.9857,68.1908,62.7746,73.6569,77.3287,30.697129093614297,26.16183955610405,24.919596475823337
dblp,query_8_6,VEQ,CFL,57212,702,MMN,MMI,MM,51.2762,59.9248,65.6528,80.5976,83.9505,106.703,8.709936772310838,8.362070505833794,6.5790090250508415
dblp,query_8_7,VEQ,CFL,124800,4054,MM,MMN,MMI,82.7764,104.324,106.761,162.563,173.937,203.023,24.93802402760776,23.30728942088227,19.968180945016083
dblp,query_8_8,VEQ,CFL,87844,2025,MMI,MMN,MM,70.5859,77.7613,91.9142,77.4942,84.3225,100.268,26.130987867479117,24.01494263097038,20.195875054852998
dblp,query_8_9,VEQ,CFL,145324,4897,MMN,MM,MMI,94.4217,95.0217,119.281,231.526,243.191,253.468,21.15097224501784,20.13643597008113,19.31999305632269
dblp,query_8_10,VEQ,CFL,65532,967,MM,MMN,MMI,55.7386,71.1976,71.318,59.8848,76.5582,77.4198,16.147670193438067,12.630913474977207,12.490344847183795
dblp,query_8_11,VEQ,CFL,62756,771,MMN,MMI,MM,40.8026,41.9265,50.3139,44.5759,47.7098,54.4257,17.296341745203126,16.160201887243293,14.166101676230165
dblp,query_8_12,VEQ,CFL,59960,585,MMN,MMI,MM,46.0949,45.556,60.2227,48.4266,48.5098,62.6099,12.080137775520065,12.059418921537503,9.343570266044187
dblp,query_8_13,VEQ,CFL,58412,899,MMN,MM,MMI,44.8652,43.9952,56.7879,61.5592,61.6356,87.1677,14.6038285097922,14.585726430828938,10.313453263077951
dblp,query_8_14,VEQ,CFL,73328,1671,MMI,MMN,MM,75.5129,75.9901,77.6063,89.1651,89.5811,91.9135,18.74051618850873,18.653488291615083,18.18013675901799
dblp,query_8_15,VEQ,CFL,64208,933,MM,MMN,MMI,49.0778,49.2648,57.3528,54.3051,54.8322,62.7024,17.180706784445658,17.015549257553044,14.879813212891372
dblp,query_8_16,VEQ,CFL,69160,382,MM,MMN,MMI,34.0602,43.1323,44.8224,39.3909,50.2537,52.3609,9.697671289561802,7.6014303424424465,7.295520130479041
dblp,query_8_17,VEQ,CFL,117876,4496,MMN,MM,MMI,84.9563,85.6921,83.7205,111.869,117.7,130.666,40.18986493130358,38.198810535259135,34.40833881805519
dblp,query_8_18,VEQ,CFL,66660,959,MMI,MMN,MM,56.3947,54.2502,69.9279,150.122,151.491,179.001,6.388137648046255,6.330409067205312,5.357511969206876
dblp,query_8_19,VEQ,CFL,93528,1887,MMN,MMI,MM,64.6431,63.2685,64.5512,83.6076,84.5288,85.4882,22.569718542333472,22.32375237788777,22.073221801371417
dblp,query_8_20,VEQ,CFL,67096,1104,MMN,MMI,MM,52.7878,52.909,67.1512,58.205,60.8397,72.9193,18.96744265956533,18.146046085039867,15.140024657395228
dblp,query_8_21,VEQ,CFL,94148,2846,MMI,MM,MMN,78.6382,85.1265,101.853,90.3359,95.6031,112.171,31.504639905065428,29.76890916717136,25.37197671412397
dblp,query_8_22,VEQ,CFL,61000,1021,MM,MMI,MMN,45.1055,47.7344,49.5974,49.4956,52.8364,54.0644,20.62809623481683,19.323799501858566,18.884885432928137
dblp,query_8_23,VEQ,CFL,61196,854,MMI,MM,MMN,40.2754,42.5953,51.6874,46.4472,46.8803,56.5585,18.386468936771216,18.216606975637955,15.099410345040974
dblp,query_8_24,VEQ,CFL,59560,905,MM,MMI,MMN,51.6709,51.9536,54.0298,56.5381,58.3101,60.4333,16.006905078168526,15.520467294688228,14.97518752078738
dblp,query_8_25,VEQ,CFL,130436,4655,MMI,MMN,MM,77.5047,77.7103,78.5106,107.162,107.378,112.446,43.43890558220264,43.35152452085157,41.39764864912936
dblp,query_8_26,VEQ,CFL,166576,4910,MMI,MMN,MM,102.327,102.207,105.238,196.342,197.774,200.518,25.00738507298489,24.82631690717688,24.48657975842568
dblp,query_8_27,VEQ,CFL,86140,1501,MMN,MMI,MM,76.6315,75.7444,77.0933,105.018,106.951,107.509,14.292787903026149,14.034464380884703,13.961621817708284
dblp,query_8_28,VEQ,CFL,113072,3971,MMN,MMI,MM,81.1773,83.2557,82.9762,147.256,148.414,152.912,26.966643124898138,26.756235934615336,25.969184890656063
dblp,query_8_29,VEQ,CFL,65064,1323,MMN,MM,MMI,75.2692,75.3093,76.0375,87.8048,88.2557,88.8411,15.06751339334524,14.99053318935774,14.891756180416497
dblp,query_8_30,VEQ,CFL,76284,1573,MMN,MMI,MM,53.4377,67.8436,67.6622,65.6056,80.0626,82.2356,23.976611752655263,19.64712612380812,19.1279689088424
dblp,query_8_31,VEQ,CFL,60944,975,MMI,MM,MMN,45.8796,48.3982,53.7604,49.277,51.8009,57.6618,19.78610710879315,18.822066798067212,16.90894144823783
dblp,query_8_32,VEQ,CFL,56096,958,MMN,MMI,MM,42.3235,43.9001,47.4643,45.1972,47.0398,50.3167,21.19600329223934,20.365732847503605,19.03940441245153
dblp,query_8_33,VEQ,CFL,63196,965,MMN,MM,MMI,57.5803,56.8797,57.5672,184.667,187.858,217.993,5.225622336421775,5.136858691139052,4.426747647860252
dblp,query_8_34,VEQ,CFL,134612,4218,MM,MMN,MMI,104.3,126.071,135.296,155.668,168.541,181.929,27.096127656294165,25.02655140292273,23.184868822452717
dblp,query_8_35,VEQ,CFL,60840,863,MM,MMI,MMN,52.2145,67.0006,67.6773,58.95,76.1109,77.7559,14.63952502120441,11.338717581844389,11.098836229790924
dblp,query_8_36,VEQ,CFL,57544,1005,MMN,MMI,MM,57.1621,56.1223,60.407,62.6161,62.6314,66.1492,16.05018517601703,16.046264333864485,15.192927503280464
dblp,query_8_37,VEQ,CFL,112120,3867,MMN,MMI,MM,86.6767,86.7756,87.9317,116.92,117.64,120.229,33.07389668149162,32.8714722883373,32.16362108975372
dblp,query_8_38,VEQ,CFL,131284,2916,MM,MMI,MMN,85.1208,94.6662,112.363,125.365,132.745,148.147,23.26008056475093,21.96692907454141,19.68315254443222
dblp,query_8_39,VEQ,CFL,60852,1349,MMI,MMN,MM,70.0508,88.2217,87.649,84.727,111.087,111.204,15.92172506993048,12.143635168831636,12.130858602208557
dblp,query_8_40,VEQ,CFL,126200,4083,MM,MMI,MMN,88.8902,80.3716,80.2385,138.965,143.578,195.174,29.381498938581657,28.437504353034587,20.919794644778506
dblp,query_8_41,VEQ,CFL,75780,1339,MM,MMI,MMN,66.4313,68.4384,69.4195,72.7396,75.0078,76.2055,18.40812982199517,17.85147677974824,17.570910236137813
dblp,query_8_42,VEQ,CFL,58236,648,MM,MMI,MMN,37.0436,37.2148,46.2289,43.112,46.3697,54.3282,15.0306179254036,13.9746429241509,11.927507261422244
dblp,query_8_43,VEQ,CFL,54196,744,MMN,MMI,MM,42.3871,42.1242,49.5781,45.9933,46.3403,53.4562,16.17626915224609,16.055139910617758,13.917936553664497
dblp,query_8_44,VEQ,CFL,120832,3484,MM,MMI,MMN,94.7534,118.365,122.878,127.077,144.344,157.826,27.416448295128152,24.136784348500804,22.07494329197977
dblp,query_8_45,VEQ,CFL,136124,3491,MMN,MMI,MM,87.7985,110.037,111.147,123.338,149.493,151.855,28.304334430589115,23.35226398560468,22.98903559316453
dblp,query_8_46,VEQ,CFL,116336,4420,MMN,MM,MMI,79.7391,79.2573,79.8362,197.655,210.971,221.68,22.36219675697554,20.950746785103167,19.938650306748464
dblp,query_8_47,VEQ,CFL,72104,1795,MMN,MM,MMI,64.514,63.9338,76.2659,69.5768,69.7183,81.6898,25.798829494889095,25.746468287379358,21.973367544050785
dblp,query_8_48,VEQ,CFL,139292,4487,MMN,MMI,MM,87.2372,87.3289,86.7227,121.033,125.433,128.062,37.07253393702544,35.7720854958424,35.03771610626103
dblp,query_8_49,VEQ,CFL,137884,4895,MMI,MM,MMN,86.6165,85.2829,111.412,129.475,135.06,152.925,37.80652635643947,36.24315119206279,32.00915481445153
dblp,query_8_50,VEQ,CFL,46832,448,MMI,MM,MMN,39.5239,40.3822,43.8886,57.2984,57.3999,63.513,7.818717451098111,7.804891646152694,7.053674050981689
