data,query,filter,order,mem_cost,coverage,engine_1,engine_2,engine_3,preproc_time_1,preproc_time_2,preproc_time_3,total_time_1,total_time_2,total_time_3,coverage_per_time_1,coverage_per_time_2,coverage_per_time_3
eu2005,query_32_1,VEQ,CFL,649552,697,MM,MMN,MMI,1119.94,1188.05,1196.69,101125,101189,101198,0.0068924598269468,0.0068881004852306,0.0058202731279274
eu2005,query_32_2,VEQ,CFL,712212,995,MMN,MM,MMI,1429.62,1473.91,1439.47,101431,101479,101444,0.0098096242766018,0.0098049842824623,0.0006308899491344
eu2005,query_32_3,VEQ,CFL,472212,1173,MM,MMN,MMI,1121.34,1126.51,1109.26,101123,101128,101111,0.011599734976217,0.0115991614587453,0.0012560453363135
eu2005,query_32_4,VEQ,CFL,2375120,5452,MMN,MM,MMI,2302.93,2341.0,2283.05,102307,102345,102288,0.0532905861768989,0.0532707997459573,0.0102749100578758
eu2005,query_32_5,VEQ,CFL,525576,692,MMI,MMN,MM,1227.97,1228.79,1255.25,101229,101234,101260,0.0068557429195191,0.0068356481024161,0.0068338929488445
eu2005,query_32_6,VEQ,CFL,900936,754,MM,MMN,MMI,1235.41,1255.41,1236.18,101240,101257,101241,0.0074476491505333,0.0074463987674926,0.0003160774784919
eu2005,query_32_7,VEQ,CFL,921180,2719,MMN,MM,MMI,1335.16,1360.08,1513.56,101337,101364,101515,0.0268312659739285,0.0268241190166133,0.0018814953455154
eu2005,query_32_8,VEQ,CFL,1408552,1367,MM,MMN,MMI,1801.88,1826.13,1751.07,101803,101831,101756,0.0134278950522086,0.0134242028458917,0.0050021620346711
eu2005,query_32_9,VEQ,CFL,1206708,4835,MM,MMN,MMI,1547.94,1575.64,1541.62,101553,101577,101543,0.0476106072691107,0.0475993581224096,0.0436169898466659
eu2005,query_32_10,VEQ,CFL,380292,786,MMN,MM,MMI,986.174,989.729,958.602,100987,100991,100960,0.007783180013269,0.0077828717410462,0.0012579239302694
eu2005,query_32_11,VEQ,CFL,1383196,63,MM,MMN,MMI,1237.77,1315.01,1300.84,101239,101320,101305,0.0006222898290184,0.0006217923410975,0.0003158777947781
eu2005,query_32_12,VEQ,CFL,891276,602,MM,MMN,MMI,1348.22,1361.64,1353.9,101353,101363,101355,0.0059396367152427,0.0059390507384351,0.0034433427063292
eu2005,query_32_13,VEQ,CFL,1025496,64,MM,MMN,MMI,1280.8,1284.33,1246.49,101282,101286,101248,0.0006318990541261,0.0006318740990857,0.0003160556257901
eu2005,query_32_14,VEQ,CFL,742148,1509,MM,MMN,MMI,1120.25,1125.91,1123.36,101125,101127,101128,0.0149221260815822,0.0149218309650241,0.0003164306621311
eu2005,query_32_15,VEQ,CFL,906500,4586,MMN,MM,MMI,1072.56,1074.83,1071.83,101074,101076,101073,0.0453726972317312,0.0453717994380466,0.0009300208760005
eu2005,query_32_16,VEQ,CFL,1488100,267,MMN,MM,MMI,1793.86,1816.12,1760.55,101795,101817,101762,0.0026229186109337,0.0026223518665841,0.000943377685187
eu2005,query_32_17,VEQ,CFL,2136976,666,MM,MMN,MMI,1970.41,1976.17,1957.46,101972,101981,101964,0.0065312046444121,0.0065306282542826,0.0015691812796673
eu2005,query_32_18,VEQ,CFL,1660928,3126,MMI,MM,MMN,1466.44,1472.93,1544.93,101468,101474,101549,0.1100445460637836,0.0308059207284624,0.0307831687165801
