data,query,filter,order,mem_cost,coverage,engine_1,engine_2,engine_3,preproc_time_1,preproc_time_2,preproc_time_3,total_time_1,total_time_2,total_time_3,coverage_per_time_1,coverage_per_time_2,coverage_per_time_3
human,query_4_1,VEQ,CFL,264868,221,MMN,MMI,MM,9.08963,8.96453,8.94664,1016.4,1191.86,1261.85,0.2174340810704447,0.1854244626046683,0.1751396758727265
human,query_4_2,VEQ,CFL,95456,151,MM,MMN,MMI,3.80539,4.55571,8.90703,5.97084,7.3089,14.5544,25.28957399628863,20.659743600268165,10.374869455285
human,query_4_3,VEQ,CFL,715496,605,MMN,MMI,MM,24.5627,24.474,38.0085,360.125,362.801,515.46,1.679972231863936,1.6675808501079104,1.1737089201877933
human,query_4_4,VEQ,CFL,715496,605,MMN,MMI,MM,19.1862,24.4349,24.3865,331.242,444.56,459.656,1.8264592050524997,1.360896166996581,1.316201681257288
human,query_4_5,VEQ,CFL,224976,294,MMN,MM,MMI,9.10741,12.4144,12.3169,108.227,143.208,169.442,2.7165125153612317,2.0529579353108764,1.735106998264893
human,query_4_6,VEQ,CFL,34424,157,MM,MMI,MMN,1.77794,1.71091,2.17154,3.20014,3.23591,3.90722,49.06035360952958,48.5180366573854,40.18202200029688
human,query_4_7,VEQ,CFL,150768,152,MMN,MM,MMI,4.38489,4.30467,5.37713,21.5835,21.945,26.9318,7.0424166608752055,6.926406926406926,5.643885666758257
human,query_4_8,VEQ,CFL,1764,66,MMI,MM,MMN,0.786429,0.814609,0.918813,0.841548,0.865797,0.97942,78.42689900041353,76.23034036846974,67.386820771477
human,query_4_9,VEQ,CFL,151984,117,MMN,MMI,MM,4.65414,5.87769,9.82174,29.296,47.01,66.6194,3.9937192790824687,2.488832163369496,1.7562451778310824
human,query_4_10,VEQ,CFL,247616,261,MMI,MM,MMN,10.6404,10.5512,14.2273,35.0967,35.6785,46.2369,7.436596603099437,7.315329960620541,5.644842106629121
human,query_4_11,VEQ,CFL,4976,33,MMN,MM,MMI,0.763781,0.941973,0.915082,0.804446,0.993605,0.996381,41.02202012316551,33.212393254864864,33.11986077614888
human,query_4_12,VEQ,CFL,20504,58,MM,MMI,MMN,1.55198,1.50854,3.57292,4.95255,5.1082,12.559,11.711138706323004,11.354293097372851,4.618202086153357
human,query_4_13,VEQ,CFL,182136,205,MMN,MMI,MM,6.02905,7.5662,14.8855,77.1028,95.4369,107.112,2.6587880076988126,2.1480161237424937,1.913884532078572
human,query_4_14,VEQ,CFL,36800,119,MM,MMN,MMI,2.16836,2.70307,4.12939,3.03681,3.60247,5.12355,39.18585621095821,33.03289132178755,23.2260834772765
human,query_4_15,VEQ,CFL,43328,148,MM,MMI,MMN,3.27004,3.19609,3.33113,3.99097,3.99649,4.01,37.08371648997612,37.032496015253386,36.90773067331671
human,query_4_16,VEQ,CFL,34424,157,MM,MMN,MMI,1.78504,2.13127,2.21412,3.12906,3.8555,3.99323,50.17481288310228,40.72104785371547,39.316543249449694
human,query_4_17,VEQ,CFL,9400,36,MMN,MM,MMI,1.85788,1.86613,1.8488,2.65707,2.66173,2.76359,13.548758594993734,13.525038227017768,13.026534326727193
human,query_4_18,VEQ,CFL,208168,273,MMI,MM,MMN,12.3355,12.4861,14.3229,36.5561,37.5022,40.0088,7.467973881240066,7.279572931721338,6.823498830257344
human,query_4_19,VEQ,CFL,10504,51,MM,MMI,MMN,1.19952,1.19975,1.30786,2.03625,2.05508,2.17702,25.04604051565377,24.81655215368745,23.42651881930345
human,query_4_20,VEQ,CFL,715496,605,MM,MMN,MMI,24.9492,19.591,24.3247,418.715,443.238,454.423,1.4448968869039802,1.364955170811167,1.331358668025166
human,query_4_21,VEQ,CFL,194976,135,MM,MMN,MMI,5.12791,6.88492,5.07012,50.5921,64.1288,71.5457,2.6684007977530086,2.105138408951984,1.8869058517842443
human,query_4_22,VEQ,CFL,24328,314,MMN,MM,MMI,3.27315,4.00686,7.68581,5.86844,7.1742,15.493,53.50655370081317,43.767946251846894,20.26721745304331
human,query_4_23,VEQ,CFL,226248,188,MMN,MMI,MM,8.2851,6.45357,6.3728,65.2426,78.7316,106.428,2.88155285043821,2.3878595125718265,1.7664524373285226
human,query_4_24,VEQ,CFL,8800,80,MMN,MM,MMI,1.30115,1.30076,1.27626,1.46447,1.46922,2.09517,54.6272712995145,54.450660894896615,38.18305913123995
human,query_4_25,VEQ,CFL,278936,302,MMI,MM,MMN,12.0971,12.8461,15.4548,89.3048,107.823,155.628,3.381677132696115,2.8008866382868223,1.9405248412882004
human,query_4_26,VEQ,CFL,30896,65,MMN,MMI,MM,1.79784,1.54909,2.04762,2.41056,2.54398,2.84323,26.96468870303996,25.55051533424005,22.86132321338759
human,query_4_27,VEQ,CFL,21960,48,MMI,MMN,MM,1.3304,1.60119,1.62924,2.76779,3.45773,3.49213,17.34235617586594,13.881939885416154,13.745192762010578
human,query_4_28,VEQ,CFL,310752,222,MMI,MM,MMN,10.356,10.2806,10.3077,187.664,212.121,273.409,1.1829652996845426,1.0465724751439036,0.8119703447947947
human,query_4_29,VEQ,CFL,250720,112,MM,MMI,MMN,5.40145,5.30737,4.34651,162.085,163.734,180.577,0.6909954653422586,0.6840363027837835,0.6202340275893387
human,query_4_30,VEQ,CFL,19144,117,MMI,MM,MMN,1.73525,1.88909,3.61518,2.47095,2.61819,5.06562,47.350209433618645,44.687360351998905,23.09687659161169
human,query_4_31,VEQ,CFL,130976,92,MM,MMN,MMI,6.29835,6.41807,6.49723,18.6391,18.7859,19.0266,4.935860637047926,4.897289988768171,4.835335793047628
human,query_4_32,VEQ,CFL,39320,221,MMN,MM,MMI,3.32233,3.4533,4.61573,6.11025,6.24915,8.24902,36.16873286690397,35.364809614107514,26.79106124121411
human,query_4_33,VEQ,CFL,16964,151,MMN,MMI,MM,2.47921,2.71095,3.56362,2.73973,3.03837,3.93398,55.114920083365874,49.69769975348624,38.38351999755972
human,query_4_34,VEQ,CFL,2256,21,MMN,MM,MMI,0.729046,0.814976,0.872647,0.817301,0.900659,0.963674,25.694328038262523,23.3162606491469,21.791601724234543
human,query_4_35,VEQ,CFL,11564,127,MMI,MMN,MM,2.00693,2.00519,2.03058,2.64742,2.81798,2.84472,47.97123236962779,45.0677435609905,44.64411260159172
human,query_4_36,VEQ,CFL,34424,157,MMN,MM,MMI,2.19318,2.18451,3.49987,3.91717,3.96194,6.50315,40.07995568229104,39.627051394014046,24.142146498235476
human,query_4_37,VEQ,CFL,32536,109,MM,MMN,MMI,1.94254,3.08997,3.54301,3.42884,5.55282,6.60988,31.78917651450636,19.629665647364764,16.490465787578593
human,query_4_38,VEQ,CFL,96,5,MMN,MM,MMI,0.711014,1.12705,1.1867,0.74165,1.18472,1.239,6.741724533135576,4.2204065095550005,4.035512510088781
human,query_4_39,VEQ,CFL,39464,232,MMN,MMI,MM,3.94039,3.92446,6.9522,6.40036,6.94765,9.38899,36.24796105219082,33.392585982310564,24.709793066133845
human,query_4_40,VEQ,CFL,126328,116,MM,MMI,MMN,4.84165,5.05985,4.84845,61.6401,62.0645,98.8027,1.8818918204220956,1.869023354735799,1.174056984272697
human,query_4_41,VEQ,CFL,120840,113,MMI,MM,MMN,4.77907,4.73616,4.73778,29.4862,29.704,30.0205,3.832301212092436,3.8042014543495823,3.7640945354008095
human,query_4_42,VEQ,CFL,289580,645,MMI,MMN,MM,16.1755,16.3033,31.8161,121.477,122.32,161.835,5.309647093688517,5.273054283845651,3.985540828621744
human,query_4_43,VEQ,CFL,240,5,MMN,MM,MMI,0.699095,0.703389,1.04027,0.726015,0.731163,1.09191,6.886910050067836,6.838420434294405,4.579131979741921
human,query_4_44,VEQ,CFL,211680,272,MMI,MM,MMN,7.60758,9.45784,9.35507,119.744,138.542,188.364,2.271512560128273,1.9633035469388345,1.4440126563462232
human,query_4_45,VEQ,CFL,34424,157,MM,MMN,MMI,2.20914,2.09531,4.06886,3.96201,4.65462,7.61142,39.62635127119821,33.72992854411316,20.626900105367987
