data,query,filter,order,mem_cost,coverage,engine_1,engine_2,engine_3,preproc_time_1,preproc_time_2,preproc_time_3,total_time_1,total_time_2,total_time_3,coverage_per_time_1,coverage_per_time_2,coverage_per_time_3
yeast,query_32_1,VEQ,CFL,3092,52,MMI,MMN,MM,3.55667,3.6,3.94178,3.93095,3.9652,4.32443,13.228354469021482,13.114092605669324,12.02470614624355
yeast,query_32_2,VEQ,CFL,3648,91,MMN,MM,MMI,2.61048,2.7008,5.11575,21.2297,22.222,32.4631,4.2864477595067285,4.095040950409504,2.803182690500908
yeast,query_32_3,VEQ,CFL,10268,233,MMI,MMN,MM,5.65552,7.16393,14.8024,76001.2,78217.3,81736.6,0.0030657410672463,0.0029788806312669,0.0028506201628156
yeast,query_32_4,VEQ,CFL,7116,173,MM,MMI,MMN,2.03259,3.58361,2.67474,93.09,99.7955,125.416,1.8584165860994732,1.7335450997289457,1.379409325763858
yeast,query_32_5,VEQ,CFL,5948,122,MMI,MM,MMN,2.39688,2.41667,2.34916,508.322,560.438,678.477,0.2400053509389717,0.2176868806183735,0.1798144962909575
yeast,query_32_6,VEQ,CFL,4816,110,MMN,MM,MMI,6.8523,7.17564,10.1772,40.7197,43.1442,73.3231,2.701395147803152,2.54958951608791,1.5002093473952958
yeast,query_32_7,VEQ,CFL,6456,141,MMN,MM,MMI,5.22139,9.5862,5.20517,260.447,292.856,298.254,0.5413769404139805,0.4814652935230967,0.4727514132249693
yeast,query_32_8,VEQ,CFL,3492,66,MMN,MM,MMI,7.96337,8.28292,9.4484,8.21815,8.56688,9.77925,8.031004544818481,7.704088302859384,6.748983817777438
yeast,query_32_9,VEQ,CFL,40068,236,MMN,MMI,MM,11.5925,11.6086,12.5835,100013.0,100013.0,100014.0,0.0023596932398788,0.0023596932398788,0.0023596696462495
yeast,query_32_10,VEQ,CFL,5976,86,MM,MMN,MMI,2.6423,3.68941,5.0417,9.52885,10.177,18.1372,9.025223400515276,8.450427434410926,4.741635974681869
yeast,query_32_11,VEQ,CFL,23336,73,MMN,MMI,MM,7.20503,7.43726,7.55788,12.0112,12.9908,13.4343,6.077660849873452,5.619361394217446,5.433852154559597
yeast,query_32_12,VEQ,CFL,4888,149,MMI,MMN,MM,4.46923,4.63411,9.05681,9.53288,10.2755,20.4558,15.630113879541124,14.500510924042628,7.283997692585966
yeast,query_32_13,VEQ,CFL,4352,79,MMN,MMI,MM,1.42516,1.64706,1.6386,8.11194,9.46661,9.59394,9.738730809152926,8.34512037572056,8.234364609326304
yeast,query_32_14,VEQ,CFL,3504,135,MMN,MM,MMI,3.63028,3.63078,3.62858,14.1031,14.1943,14.245,9.572363522913404,9.51085999309582,9.477009477009478
yeast,query_32_15,VEQ,CFL,51724,339,MM,MMN,MMI,13.6388,13.4762,13.5863,100015.0,100015.0,100015.0,0.0033894915762635,0.0033894915762635,0.0033894915762635
yeast,query_32_16,VEQ,CFL,10620,74,MMN,MMI,MM,5.75671,8.55935,8.52149,8.14319,11.8827,12.0171,9.087347832974546,6.227540878756511,6.157891671035442
yeast,query_32_17,VEQ,CFL,3872,56,MMI,MM,MMN,6.89014,8.84153,14.2848,7.0682,9.02674,14.6314,7.922809201776973,6.2037900726065,3.827384939240264
yeast,query_32_18,VEQ,CFL,5764,144,MMN,MMI,MM,2.81873,2.82154,5.45202,47.3819,47.8742,65.6708,3.0391351971955536,3.0078831604496785,2.1927553798644146
yeast,query_32_19,VEQ,CFL,9288,170,MMN,MMI,MM,4.50341,4.45075,4.48031,21946.9,22114.4,22271.1,0.0077459686789478,0.0076872987736497,0.0076332107529488
yeast,query_32_20,VEQ,CFL,23540,336,MM,MMN,MMI,7.88806,7.88806,7.89061,100009.0,100009.0,100009.0,0.0033596976272135,0.0033596976272135,0.0033596976272135
yeast,query_32_21,VEQ,CFL,1928,48,MMI,MMN,MM,2.31989,3.14833,3.2273,2.4667,3.32931,3.41923,19.45919649734463,14.4174018039774,14.03824837755869
yeast,query_32_22,VEQ,CFL,4284,56,MM,MMI,MMN,3.34405,3.46591,3.95317,3.5783,3.75101,4.1955,15.64988961238577,14.929312371867844,13.347634370158502
yeast,query_32_23,VEQ,CFL,11452,287,MMI,MMN,MM,5.86402,6.48813,6.6516,44.0171,55.9268,58.4259,6.520193288517417,5.131707875294135,4.9122050323572255
yeast,query_32_24,VEQ,CFL,2316,60,MMN,MM,MMI,2.43296,3.07061,6.07674,2.75355,3.57314,7.02432,21.790052840878136,16.791953295980566,8.541752084187507
yeast,query_32_25,VEQ,CFL,34876,173,MM,MMN,MMI,8.74772,11.8855,11.9781,100010.0,100013.0,100013.0,0.0017298270172982,0.0017297751292331,0.0017297751292331
yeast,query_32_26,VEQ,CFL,39264,409,MMN,MM,MMI,10.8896,10.1672,10.1175,5544.18,5884.49,5930.95,0.0737710536093705,0.0695047489247156,0.0689602846087051
yeast,query_32_27,VEQ,CFL,3460,62,MMN,MM,MMI,2.30091,2.33689,4.5043,2.59316,2.65032,5.11994,23.90905304724737,23.393401551510763,12.109516908401272
yeast,query_32_28,VEQ,CFL,8736,164,MM,MMN,MMI,8.23124,12.5227,8.34083,65.5761,68.6859,74.4171,2.500911155131214,2.387680732144443,2.203794557971219
yeast,query_32_29,VEQ,CFL,9140,92,MM,MMI,MMN,5.36719,5.28308,9.86802,20.144,32.0201,35.3763,4.567116759332804,2.8731952742183817,2.6006111436187505
yeast,query_32_30,VEQ,CFL,49912,483,MMN,MMI,MM,10.0251,9.96298,19.8964,100011.0,100011.0,100021.0,0.0048294687584365,0.0048294687584365,0.0048289859129582
yeast,query_32_31,VEQ,CFL,36240,189,MMN,MMI,MM,10.0321,9.69011,10.5136,100011.0,100011.0,100012.0,0.0019697833238343,0.0019397866234714,0.0018897732272127
yeast,query_32_32,VEQ,CFL,8592,145,MMN,MMI,MM,7.31966,7.48792,7.50262,123.375,196.006,216.729,1.1752786220871327,0.7397732722467679,0.6690382920605917
yeast,query_32_33,VEQ,CFL,11588,114,MM,MMI,MMN,6.79589,6.84549,6.79332,1304.46,1323.27,1480.69,0.0873924842463548,0.0861502187762134,0.0769911325125448
yeast,query_32_34,VEQ,CFL,4492,112,MMN,MM,MMI,3.4408,4.83403,4.73573,27.694,37.738,39.4432,4.0441972990539465,2.9678308336424823,2.8395262047704044
yeast,query_32_35,VEQ,CFL,23356,248,MMN,MMI,MM,11.7562,11.6797,10.9863,37877.0,38860.5,40666.5,0.0065475090424268,0.0063818015722906,0.0060983856491215
yeast,query_32_36,VEQ,CFL,2156,51,MMN,MM,MMI,1.91512,1.96792,3.65135,2.01847,2.075,3.88903,25.26666237298548,24.578313253012045,13.113809870327565
yeast,query_32_37,VEQ,CFL,19432,76,MMI,MMN,MM,7.07388,7.66789,10.9621,48.4511,51.3448,55.3907,1.5685918379562076,1.480188840934233,1.3720714849243645
yeast,query_32_38,VEQ,CFL,21884,124,MMN,MMI,MM,5.58481,5.48104,5.74561,66862.1,67024.4,69544.4,0.0018545633475466,0.0018500725109064,0.0017830335727966
yeast,query_32_39,VEQ,CFL,15832,154,MMI,MM,MMN,9.14697,9.32144,9.26659,113.302,138.144,175.159,1.3591993080439886,1.1147787815612693,0.879201182925228
yeast,query_32_40,VEQ,CFL,7968,167,MMN,MMI,MM,4.04367,4.62085,4.01551,252.809,254.821,329.266,0.6605777484187667,0.6553619992072867,0.507188716721435
yeast,query_32_41,VEQ,CFL,7448,62,MMN,MM,MMI,8.48306,8.5088,8.73244,9.95453,10.0276,10.211,6.228320171821271,6.182935099126412,6.071883263147586
