data,query,filter,order,mem_cost,coverage,engine_1,engine_2,engine_3,preproc_time_1,preproc_time_2,preproc_time_3,total_time_1,total_time_2,total_time_3,coverage_per_time_1,coverage_per_time_2,coverage_per_time_3
youtube,query_24_1,VEQ,CFL,519680,3330,MMI,MMN,MM,666.586,670.778,668.737,100671.0,100675.0,100673.0,0.034717048603868,0.0334144524459895,0.0330773891708799
youtube,query_24_2,VEQ,CFL,646328,8164,MMI,MMN,MM,779.345,723.521,722.082,100781.0,100725.0,100726.0,0.0852640874768061,0.0814792752544055,0.0810515656335007
youtube,query_24_3,VEQ,CFL,535352,2489,MMI,MMN,MM,657.435,659.507,663.509,100659.0,100661.0,100665.0,0.028114723969044,0.0247265574552209,0.0247255749267371
youtube,query_24_4,VEQ,CFL,691752,12299,MMI,MM,MMN,703.569,766.686,774.822,100705.0,100768.0,100776.0,0.1291991460205551,0.1220526357573833,0.1220429467333492
youtube,query_24_5,VEQ,CFL,588264,3327,MMI,MMN,MM,670.398,701.012,681.471,100672.0,100705.0,100683.0,0.0475603941513032,0.0331363884613475,0.0330443073805905
youtube,query_24_6,VEQ,CFL,567116,1499,MMI,MMN,MM,671.535,672.459,660.235,100673.0,100678.0,100666.0,0.0286372711650591,0.0150479747313216,0.0148908270915701
youtube,query_24_7,VEQ,CFL,595736,2354,MMI,MMN,MM,692.929,698.069,669.792,100698.0,100699.0,100675.0,0.0286400921567459,0.0235156257758269,0.0233821703501365
youtube,query_24_8,VEQ,CFL,628704,6467,MMI,MMN,MM,682.482,669.28,681.343,100686.0,100671.0,100685.0,0.0780644776830939,0.064825024088367,0.0642300243333167
youtube,query_24_9,VEQ,CFL,571292,3129,MMI,MMN,MM,708.045,706.113,707.707,100712.0,100710.0,100712.0,0.0383271109698943,0.0310694072088173,0.0310687902136786
youtube,query_24_10,VEQ,CFL,721660,6822,MMI,MMN,MM,750.831,758.106,733.234,100754.0,100762.0,100737.0,0.0747960378744268,0.0683591036303368,0.0677208969891896
youtube,query_24_11,VEQ,CFL,715160,5904,MMI,MMN,MM,754.604,783.722,756.477,100756.0,100787.0,100760.0,0.0743876295208225,0.0589064065802137,0.0585946804287415
youtube,query_24_12,VEQ,CFL,673968,5980,MMI,MMN,MM,701.291,683.642,697.907,100705.0,100689.0,100701.0,0.0639392284395015,0.0605031334107995,0.0593837201219451
youtube,query_24_13,VEQ,CFL,605808,1826,MMI,MM,MMN,705.034,694.683,755.732,100711.0,100700.0,100763.0,0.0207425206779795,0.0181330685203575,0.0181217311910125
youtube,query_24_14,VEQ,CFL,630964,5414,MMI,MMN,MM,723.57,724.177,705.506,100728.0,100728.0,100710.0,0.0645202922722579,0.0538281312048288,0.0537583159567073
youtube,query_24_15,VEQ,CFL,693216,7384,MMI,MMN,MM,707.553,727.713,724.644,100711.0,100731.0,100726.0,0.0827714946728758,0.0735920421717246,0.0733077854774338
youtube,query_24_16,VEQ,CFL,726340,4905,MMI,MMN,MM,675.481,824.787,694.055,100679.0,100826.0,100698.0,0.0603899522243963,0.0495308749727252,0.0487100041708872
youtube,query_24_17,VEQ,CFL,386284,2504,MMI,MMN,MM,581.377,504.772,527.985,100586.0,100510.0,100533.0,0.0306305052392977,0.024912943985673,0.024907244387415
youtube,query_24_18,VEQ,CFL,475052,4246,MMI,MM,MMN,583.551,587.278,591.173,100588.0,100592.0,100593.0,0.0427486380085099,0.0422101161126133,0.0422096964997564
youtube,query_24_19,VEQ,CFL,681688,10962,MMI,MMN,MM,645.456,694.001,689.803,100649.0,100697.0,100693.0,0.1197826108555474,0.1095365303832289,0.108865561657712
youtube,query_24_20,VEQ,CFL,557292,6725,MMI,MMN,MM,641.985,608.704,628.028,100645.0,100612.0,100631.0,0.0681305579015351,0.067109291138234,0.0668283133428069
youtube,query_24_21,VEQ,CFL,759560,6374,MMI,MMN,MM,646.236,693.844,646.074,100648.0,100695.0,100650.0,0.0749741673952786,0.0641441978251154,0.0633283656234476
youtube,query_24_22,VEQ,CFL,625504,3084,MMI,MMN,MM,649.976,623.002,638.281,100651.0,100628.0,100640.0,0.0360950214106168,0.0313332273323528,0.0306438791732909
youtube,query_24_23,VEQ,CFL,605416,3081,MMI,MMN,MM,616.499,634.9,641.216,100621.0,100636.0,100643.0,0.0352510907265878,0.0306152867761039,0.0306131573979313
youtube,query_24_24,VEQ,CFL,639012,6498,MMI,MMN,MM,660.108,664.656,646.187,100664.0,100666.0,100648.0,0.0769887944051498,0.0646891701269544,0.0645616405691121
youtube,query_24_25,VEQ,CFL,693904,6203,MMI,MMN,MM,628.293,571.49,612.589,100630.0,100575.0,100614.0,0.0694027625956474,0.0616654238130748,0.0616514600353827
youtube,query_24_26,VEQ,CFL,689076,7915,MMI,MMN,MM,682.51,682.296,672.416,100686.0,100686.0,100674.0,0.088284369227102,0.0786603897264763,0.0786201005224784
youtube,query_24_27,VEQ,CFL,697524,8308,MMI,MMN,MM,690.107,691.337,705.384,100691.0,100693.0,100709.0,0.0924908879641676,0.0826671168800214,0.0824951096724225
youtube,query_24_28,VEQ,CFL,668620,3507,MMI,MM,MMN,757.029,666.13,753.984,100762.0,100668.0,100759.0,0.0526190428931541,0.034837286923352,0.0347958991256364
